page,content
23," KAPITEL 3
Innere Sicherheit und
Justiz
"
24,"24 Programm für Deutschland | Innere Sicherheit und Justiz
   INNERE SICHERHEIT UND JUSTIZ
     Wir wollen den Rechtsstaat stärken und dem Recht wieder      Die Innere Sicherheit in Deutschland nimmt immer
   zur Durchsetzung verhelfen. Erstens müssen sich die Bür-     mehr ab. Die Ursachen hierfür sind vielfältig. Um die Lage
   ger auf das Recht und ihr Recht verlassen können. Zweitens   zu verbessern, sind Veränderungen bei Polizei und Justiz
   müssen sich die Organe und Institutionen des Staats wieder   erforderlich. Auch sind deren Eingriffsmöglichkeiten an die
   an das Recht halten. Vor einem Staat, der das Recht mit      Herausforderungen anzupassen sowie nicht zuletzt diejeni-
   Füßen tritt, sind auch die Bürger nicht sicher.              gen Ursachen zu bekämpfen, die zu erhöhter Kriminalitäts-
                                                                belastung geführt haben und voraussichtlich auch weiter
     Die Einhaltung des Rechts ist die Grundvoraussetzung       führen werden.
   für die Gewährleistung der Inneren Sicherheit. Sie ist eine
   Kernaufgabe unseres Staates. Sie garantiert ein friedliches    Die AfD fordert daher einen „sicherheitspolitischen Be-
   Zusammenleben der Menschen in einer offenen und freien       freiungsschlag“, um den Schutz der Bürger an erste Stelle
   Gesellschaft, unabhängig von ihrer Herkunft und Religion.    zu setzen. Andere Belange haben sich dem unterzuordnen.
   Sie ist Voraussetzung für unsere Freiheit, für Wohlstand und Wir wollen einen klaren Systemwechsel hin zu Behörden,
   Demokratie.                                                  die zum maximalen Schutz der Bürger in der Lage sind:
                                                                Ausländerbehörden, Polizei und Strafverfolgung. Wir wollen
                                                                den Sicherheitsbehörden bessere und moderne Vorschriften
                                                                geben.
"
25,"25 Programm für Deutschland | Innere Sicherheit und Justiz
   3.1 Polizei stärken und Strafjustiz verbessern                   Die Strafjustiz hat derzeit mit einer Strafprozessordnung
                                                                 zu arbeiten, die noch aus dem 19. Jahrhundert stammt. Sie
      Die Polizei ist ausgezehrt: Jahrelange so genannte „Po-
                                                                 ist personell zu stärken, die Verfahren sind durch geeignete
   lizeireformen“ haben zu einem deutlichen Personalabbau
                                                                 Verfahrensmaßnahmen zu beschleunigen, doch dabei sind
   geführt. Dies führte in allen Bereichen zu unzumutbaren
                                                                 selbstverständlich die verfassungsrechtlichen Anforderun-
   und unverantwortlichen Mangelsituationen. Daher sind,
                                                                 gen an ein faires Verfahren zu wahren. Die Möglichkeiten
   um sie zu beheben, die Stellenpläne im erforderlichen Maß
                                                                 des Strafbefehlsverfahrens sind ebenso wie die des beschleu-
   aufzustocken und die Ausrüstung auf den modernsten Stand
                                                                 nigten Strafverfahrens zu verbessern. Das Rechtsmittelsys-
   zu bringen. Vor allem im IT-Bereich sollten in Bund und
                                                                 tem ist so zu gestalten, dass zügigere Entscheidungen mög-
   Ländern einheitliche Standards gelten. Zur besseren Evalu-
                                                                 lich werden, indem insbesondere Urteilsaufhebungen und
   ierung ist eine Kriminalstatistik ohne politische Vorgaben
                                                                 Zurückweisungen zur Neuverhandlung abgeschafft werden.
   als möglichst getreues Abbild der Realität zu erstellen und
   durch eine Dunkelfeldstudie zu ergänzen.
                                                                 3.2 Weisungsfreie Staatsanwälte,
                                                                 unabhängige Richter und parteiferne
      Die AfD setzt sich für eine schnelle Verbesserung der Jus-                                                              Wir wollen die Polizei und
                                                                 Rechnungshöfe
   tizorganisation, für eine Wiederherstellung unseres Rechts-                                                                Justiz stärken, um sie in die
                                                                                                                              Lage zu versetzen,
   systems und für einen effektiven Rechtsschutz der Bürger         Die AfD will die Einflussnahme der politischen Parteien
                                                                                                                              Verbrechen effektiver zu
   ein. Die Justiz muss in allen Bereichen wieder schneller und  auf das Ernennen von Richtern und Staatsanwälten beenden     bekämpfen.
   zuverlässiger arbeiten.                                       und für die Zukunft ausschließen. Auch wollen wir die Praxis Vor dem Hintergrund der
                                                                 ändern, dass die Staatsanwaltschaft weisungsgebunden und     steigenden Brutalität
                                                                                                                              jugendlicher Krimineller ist auf
      Vor dem Hintergrund der steigenden Brutalität jugendli-    im Einzelfall dem Justizminister berichtspflichtig ist. Die
                                                                                                                              volljährige Täter das
   cher Krimineller und der gravierenden Problematik jugendli-   Unabhängigkeit der dritten Gewalt muss durch eine Selbst-    Erwachsenenstrafrecht
   cher Intensivtäter halten wir es für wichtig und zweckmäßig,  verwaltung der Justiz ausgebaut werden, wie es in vielen     anzuwenden und das
   auf volljährige Täter das Erwachsenenstrafrecht anzuwenden    anderen europäischen Ländern bereits üblich ist. Wir unter-  Strafmündigkeitsalter auf
                                                                                                                              zwölf Jahre zu senken.
   und das Strafmündigkeitsalter auf zwölf Jahre zu senken.      stützen daher den Modellvorschlag des Deutschen Richter-
   Der Staat muss durch die konsequente Bestrafung schwerer      bundes, einen Justizwahlausschuss und einen Justizverwal-
   Delikte Signale der Warnung und Prävention aussenden          tungsrat einzurichten. Insbesondere die Verfassungsgerichte
   sowie den verloren gegangenen Respekt bei diesen jugendli-    und Rechnungshöfe sind vor parteipolitischer Einwirkung zu
   chen Serientätern wiederherstellen.                           schützen.
      Wir sind dafür, das Anordnen der Untersuchungshaft
   schon dann möglich zu machen, wenn der dringende Tat-
   verdacht eines Verbrechens im Sinne des § 12 Abs. 1 StGB
   besteht.
"
26,"26 Programm für Deutschland | Innere Sicherheit und Justiz
   3.3 Angriffe auf Amtspersonen härter bestrafen               straffen, indem die Strafgerichte die Ausweisung von Krimi-
                                                                nellen schon zugleich mit dem Strafurteil aussprechen.
     Der immer mehr um sich greifenden Aggressivität gegen
                                                                  Ferner sind gesetzliche Abschiebungshindernisse zu
   Amtspersonen im weiteren Sinne (Polizeibeamte, Feuer-
                                                                entschärfen. Außerdem sind durch Vereinbarung mit aus-
   wehrangehörige und sonstige Rettungskräfte) ist dadurch
                                                                ländischen Staaten Aufnahmekapazitäten für sonst nicht
   zu begegnen, dass tätliche Angriffe auf diesen Personenkreis
                                                                abschiebbare Personen außerhalb Deutschlands zu schaffen,
   mit einer Freiheitsstrafe von mindestens drei Monaten zu
                                                                ggf. muss für gefährliche Kriminelle Sicherungshaft verhängt
   ahnden sind. Hierzu sehen wir auch einen neuen Straftat-
                                                                werden können. Wir fordern, die Einbürgerung Krimineller
   bestand als erforderlich an, der Polizisten auch dann vor
                                                                zuverlässig zu verhindern, den Anspruch auf Einbürgerung
   Angriffen besonders schützt, wenn diese Angriffe anlasslos
                                                                abzuschaffen, den früheren Status Quo des Abstammungs-
   erfolgen.
                                                                prinzips (galt bis 2000) wieder einzuführen sowie den Ver-   Ausländische Straftäter
                                                                lust der Staatsbürgerschaft bei bestimmten Tatbeständen im   müssen viel schneller als
   3.4 Opferschutz statt Täterschutz
                                                                Rahmen geltenden Rechts zu forcieren.                        bisher abgeschoben werden.
     Statt den Täterschutz immer weiter ausufern zu lassen,
   wollen wir den Fokus wieder darauf richten, den Opferschutz  3.5 Waffenrecht muss nicht verschärft werden
   sachorientiert zu verbessern.
                                                                  Ein liberaler Rechtsstaat muss seinen Bürgern vertrauen.
                                                                Er muss es nicht nur ertragen können, dass Bürger legal
     Nicht therapierbare alkohol- und drogenabhängige sowie
                                                                Waffen erwerben und besitzen, sondern muss die Hand-
   psychisch kranke Täter, von denen erhebliche Gefahren für
                                                                lungsfreiheit seiner Bürger bewahren und freiheitsbeschrän-
   die Allgemeinheit ausgehen, sind nicht in psychiatrischen
                                                                kende Eingriffe minimieren.
   Krankenhäusern, sondern in der Sicherungsverwahrung
   unterzubringen.
                                                                  Die AfD widersetzt sich jeder Einschränkung von Bür-
                                                                gerrechten durch ein Verschärfen des Waffenrechts. Die
     Lockerungen und Urlaube im Strafvollzug dürfen nur mit
                                                                Kriminalisierung von Waffenbesitz schreckt Täter nicht ab,
   Zustimmung der Staatsanwaltschaft möglich sein.
                                                                sondern macht Opfer wehrloser. Eine Verschärfung des Waf-
     Der erhebliche Anteil von Ausländern gerade im Bereich
                                                                fenrechts wird nicht verhindern, dass Terroristen und ande-
   der Gewalt- und Drogenkriminalität begegnet derzeit nur
                                                                re Verbrecher illegal Waffen erwerben, mit ihnen handeln
   halbherzigen ausländerrechtlichen Maßnahmen, insbeson-
                                                                und sie nutzen. Ein strengeres Waffenrecht wäre ein weiterer
   dere können sich ausländische Kriminelle sehr häufig auf
                                                                Schritt in die Kriminalisierung unbescholtener Bürger und in
   Abschiebungshindernisse berufen und sind auf diese Weise
                                                                den umfassenden Überwachungs- und Bevormundungsstaat.
   vor Abschiebung sicher. Die Ausweisungsvoraussetzungen
   sind herabzusetzen und das Ausweisungsverfahren ist zu
"
27,"27 Programm für Deutschland | Innere Sicherheit und Justiz
   3.6 Kein Datenschutz für Täter                                 3.8 Zivil- und Fachgerichte sind ein Standortfaktor
     Das Recht auf informationelle Selbstbestimmung ist für          Eine leistungsfähige Justiz im Zivil- und Arbeitsrecht wie
   uns ein wichtiges Gut. Die Grundsätze des Datenschutzes        auch sonst in der Fachgerichtsbarkeit (z.B. Verwaltungs- und
   müssen gewährleistet werden. Gleichwohl ist zu überprü-        Finanzgerichtsbarkeit) stellt einen wichtigen Standortvorteil
   fen, ob die Sicherheit der Bürger sowie von Wirtschaft und     für die Entscheidungen der Privatwirtschaft dar. Zügig und
   Industrie vor Spionage bei dieser Frage angemessen berück-     effizient hergestellte Rechtssicherheit macht Deutschland als
   sichtigt wird. Im Zweifel ist das Recht der Bürger auf Sicher- Wirtschaftsstandort attraktiv. Bessere personelle wie sach-
   heit höher zu bewerten als das eines Straftäters auf informa-  liche Ausstattung der Gerichte ist hierfür unverzichtbar und  An Deutschlands
                                                                                                                                Außengrenzen sollen wieder
   tionelle Selbstbestimmung. Bei der Implementierung von         daher zu stärken. Die AfD fordert, das Rückwirkungsverbot
                                                                                                                                betriebsbereite
   Datenschutzmaßnahmen ist immer der Mehraufwand für             einzuhalten und wendet sich konsequent gegen echte und        Grenzübergangsstellen
   die Ermittlungspersonen und die Justiz zu berücksichtigen      unechte Rückwirkung.                                          bereitstehen.
   und sinnvoll abzuwägen. Ziel muss es sein, die Lebensbe-
   dingungen für die Mehrheit der Bürger zu verbessern. In der    3.9 Deutsche Grenzen schützen
   Vergangenheit hat ein ideologisch motiviertes übertriebenes
                                                                     Die Alternative für Deutschland betrachtet den bloßen
   Maß an Datenschutzmaßnahmen die Sicherheitsbehörden
                                                                  Schutz der europäischen Außengrenzen als unzureichend
   gelähmt und unverhältnismäßig bürokratisiert. Die Folge ist
                                                                  und fordert den Aufbau eines flächendeckenden deutschen
   mangelnde Sicherheit für rechtschaffene Bürger und Daten-
                                                                  Grenzschutzes unter dem Dach der Bundespolizei. An
   schutz für Täter. Die Grundsätze des Zeugnisverweigerungs-
                                                                  Deutschlands Außengrenzen sollen wieder betriebsbereite
   rechtes aus beruflichen und persönlichen Gründen bleiben
                                                                  Grenzübergangsstellen bereitstehen, die je nach Gefähr-
   unberührt.
                                                                  dungslage jederzeit in Betrieb genommen werden können.
                                                                  Zum Schutz der grünen Grenze sollen nach österreichischem
   3.7 Organisierte Kriminalität nachhaltig
                                                                  Vorbild Bundeswehrangehörige herangezogen werden
   bekämpfen
                                                                  können, sowie gegebenenfalls Schutzzäune oder ähnliche
     Die organisierte Kriminalität (OK) muss nachhaltiger         Barrieren errichtet werden.
   bekämpft werden. Dazu gehört, Gewinne aus Straftaten
   besser abzuschöpfen und folgerichtig die bereits bestehen-
   den rechtlichen Instrumente des Verfalls und der Einziehung
   besser zu nutzen. Die Mehrzahl der Täter im Bereich der
   organisierten Kriminalität sind Ausländer. Sie auszuweisen,
   muss vereinfacht werden. Deshalb ist für diesen Personen-
   kreis bei entsprechendem Verdacht die OK-Zugehörigkeit als
   Ausweisungsgrund einzuführen.
"
28,"KAPITEL 4
Außen- und
Sicherheitspolitik
"
29,"29 Programm für Deutschland | Außen- und Sicherheitspolitik
   AUSSEN- UND SICHERHEITSPOLITIK
     Die Bundesrepublik verfolgt eine orientierungslose An-       Als eine der großen Wirtschaftsnationen liegt es im deut-
   passungspolitik. Dies führt dazu, dass zunehmend andere      schen Interesse, zu allen Staaten gute Beziehungen zu ent-
   Staaten und Institutionen die deutsche Außen- und Sicher-    wickeln und zu pflegen. In internationalen Bündnissen und
   heitspolitik beeinflussen und steuern. Sicherheitspolitische Organisationen mitzuwirken, ist ein Grundpfeiler deutscher
   Entscheidungs- und Handlungsfähigkeit in Deutschland und     Außen- und Sicherheitspolitik. Diese Zusammenarbeit wird
   Europa sind erodiert. Deswegen ist Deutschland zunehmend     durch zwischenstaatliche Kooperationen ergänzt.
   auf den Schutz und die Unterstützung von Bündnispartnern,
   besonders der USA, angewiesen und kann eigene Interessen
   nicht angemessen vertreten.
     Die AfD tritt deshalb dafür ein, zur deutschen Außen- und
   Sicherheitspolitik eine langfristige ressortübergreifende
   Gesamtstrategie zu erarbeiten und umzusetzen. Dabei müs-
   sen die nationalen Interessen und das Wohl des deutschen
   Volkes im Mittelpunkt stehen.
"
30,"30 Programm für Deutschland | Außen- und Sicherheitspolitik
   4.1 Vereinte Nationen reformieren                           4.2 Nato als Verteidigungsbündnis
     Die Vereinten Nationen sind für Fragen der Sicherheit       Die Mitgliedschaft in der Nato entspricht den außen- und
   und des Friedens in der Welt unverzichtbar. Die AfD setzt   sicherheitspolitischen Interessen Deutschlands, soweit sich
   sich dafür ein, dass Deutschland als aktives Mitglied der   die Nato auf ihre Aufgabe als Verteidigungsbündnis be-
   Vereinten Nationen beim Lösen und Bewältigen internati-     schränkt. Wir setzen uns dafür ein, den europäischen Teil
   onaler Konflikte eine aktive und konstruktive Rolle spielt. der atlantischen Allianz deutlich zu stärken. Um dieses Ziel
   Ziel muss es sein, internationale Krisenherde diplomatisch  zu erreichen, ist es unabdingbar, die militärischen Fähig-
   zu entschärfen, um humanitäre Katastrophen und den          keiten der deutschen Streitkräfte wiederherzustellen, um
   Verlust der Heimat von Bevölkerungsgruppen zu vermei-       Anschluss an die strategischen und operativen Erfordernisse
   den, auch um unkontrollierten Wanderungsbewegungen          zu finden. Diese von der AfD geforderte Wiederherstellung
   in Richtung Europa entgegenzuwirken. Wir treten dafür       soll nicht nur die Landesverteidigung als zentrale Aufgabe
   ein, sich in innere Angelegenheiten anderer Staaten nicht   der Bundeswehr sicherstellen, sondern die deutschen Streit-
                                                                                                                            Die Mitgliedschaft in
   einzumischen. Organisationen und international agierende    kräfte auch in erforderlichem Maß zur Bündnisverteidigung    der Nato entspricht den
   Konzerne, die Einfluss auf die Innenpolitik anderer Länder  und Krisenvorsorge befähigen. Die AfD sieht im Bestreben,    außen- und sicherheitspoliti-
   oder deren Eliten zu nehmen versuchen, um ihre politischen  Verpflichtungen gegenüber den Nato-Bündnispartnern           schen Interessen
                                                                                                                            Deutschlands, soweit sich die
   oder wirtschaftlichen Interessen durchzusetzen, sind darin  berechenbar zu erfüllen, eine wichtige Aufgabe deutscher     Nato auf ihre Aufgabe als
   zu beschränken.                                             Außen- und Sicherheitspolitik, um auf diesem Weg mehr        Verteidigungsbündnis
                                                               Gestaltungsmacht und Einfluss zu entfalten. Wir treten       beschränkt.
     Die AfD ist dafür, die Vereinten Nationen, einschließlich dafür ein, dass jedes Engagement in der Nato im Einklang
   des Sicherheitsrates, zu stärken und zu reformieren. Den    mit den deutschen Interessen steht und einer zielgerichteten
   veränderten Gewichtungen in der Welt sollte Rechnung ge-    Strategie entspricht. Die Nato muss so reformiert werden,
   tragen werden. Als eine weltweit anerkannte Nation und als  und die Streitkräfte der europäischen Partnerstaaten sind so
   drittgrößter Beitragszahler der UN fordern wir für Deutsch- zu restrukturieren, dass sie die Sicherheit in Europa und an
   land einen ständigen Sitz im UN-Sicherheitsrat. Aufgrund    seiner Peripherie gewährleisten können.
   des Völkergewohnheitsrechts und in Übereinkunft mit den
   früheren Siegermächten haben sich die Grundzüge der           Nato-Einsätze außerhalb des Bündnisbereichs, an der
   Feindstaatenklausel grundlegend gewandelt. Es bleibt die    sich deutsche Streitkräfte beteiligen, sollten grundsätzlich
   Aufgabe, diese nun endgültig zu streichen.                  unter einem UN-Mandat stattfinden und nur, wenn deutsche
                                                               Sicherheitsinteressen berücksichtigt werden.
     Die AfD bejaht eine Fürsorgepflicht Deutschlands für die
   im Ausland lebenden deutschen Minderheiten.                   Die Bündnispartner und Deutschland arbeiten gleichbe-
                                                               rechtigt und in gegenseitigem Respekt zusammen und stim-
"
31,"31 Programm für Deutschland | Außen- und Sicherheitspolitik
   men sich in wichtigen internationalen Fragen ab. Vor diesem    4.4 Bundeswehr stärken
   Hintergrund steht 70 Jahre nach dem Ende des Zweiten
                                                                    Die deutschen Streitkräfte sind derzeit nur noch bedingt
   Weltkrieges und 25 Jahre nach der Beendigung der Teilung
                                                                  einsatzbereit. Durch politische Fehlentscheidungen und
   Europas die Neuverhandlung des Status alliierter Truppen
                                                                  grobes Missmanagement wurden sie über nahezu drei De-
   in Deutschland auf der Tagesordnung. Dieser muss an die
                                                                  kaden hinweg vernachlässigt. Sie müssen in vollem Umfang
   wiedergewonnene deutsche Souveränität angepasst werden.
                                                                  wieder in die Lage versetzt werden, ihre Aufgaben wirkungs-
   Die AfD setzt sich für den Abzug aller auf deutschem Boden
                                                                  voll und nachhaltig zu erfüllen. Dies ist die Voraussetzung
   stationierten alliierten Truppen und insbesondere ihrer
                                                                  dafür, dass Nato, EU und internationale Staatengemein-
   Atomwaffen ein.
                                                                  schaft Deutschland als gleichberechtigten Partner wahrneh-
                                                                                                                               Gemeinsame europäische
                                                                  men.                                                         Streitkräfte lehnt die AfD
   4.3 OSZE und europäische Sicherheitsstruktur
                                                                                                                               ab und hält an einer
      Ein unverzichtbares Instrument der europäischen Frieden-    4.4.1 Keine europäische Armee                                umfassend befähigten
                                                                                                                               Bundeswehr als Eckpfeiler
   sordnung ist die OSZE. Ihre Rolle in europäischen Kon-
                                                                    Gemeinsame europäische Streitkräfte lehnt die AfD ab und   deutscher Souveränität fest.
   flikten wollen wir gestärkt und ausgebaut sehen. Ziel ist es,
                                                                  hält an einer umfassend befähigten Bundeswehr als Eckpfei-
   Krisenregionen zu stabilisieren.
                                                                  ler deutscher Souveränität fest. Dies schließt eine ständige
                                                                  Kooperation deutscher Streitkräfte mit denen der Bünd-
      Das Verhältnis zu Russland ist für Deutschland, Europa
                                                                  nispartner ein.
   und die Nato von maßgeblicher Bedeutung, denn Sicherheit
   in und für Europa kann ohne Russlands Einbindung nicht
                                                                    Im Ergebnis benötigt Deutschland Streitkräfte, deren
   gelingen. Wir setzen uns daher dafür ein, Konflikte in Euro-
                                                                  Führung, Stärke und Ausrüstung an den Herausforderungen
   pa friedlich zu regeln und dabei die jeweiligen Interessen zu
                                                                  künftiger Konflikte orientiert sind und höchsten internatio-
   berücksichtigen.
                                                                  nalen Standards entsprechen, die gründlich und an den mo-
                                                                  dernen Einsatzerfordernissen orientiert ausgebildet werden
      Die AfD vertritt eine Außenpolitik, die darauf verpflichtet
                                                                  und die eine am Wohl der Truppe orientierte Verwaltung mit
   ist, die außen- und sicherheitspolitischen, die wirtschaftli-
                                                                  deutlich reduzierter Bürokratie vorhalten.
   chen und kulturellen Interessen Deutschlands zu wahren.
      Wir sind für die Freiheit der Handelswege, der interna-
                                                                    Eng damit verbunden sind unverzichtbare nationale
   tionalen Kommunikation (wie die des Internets), für den
                                                                  wehrtechnische Fähigkeiten, um in Schlüsseltechnologien
   Schutz der natürlichen Lebensgrundlagen und für die gleich-
                                                                  national unabhängig zu bleiben, mit der Weltspitze Schritt
   berechtigte, faire Nutzung der globalen Ressourcen.
                                                                  zu halten und Arbeitsplätze in Deutschland zu sichern.
"
32,"32 Programm für Deutschland | Außen- und Sicherheitspolitik
     Sicherheit und Freiheit Deutschlands und seiner Verbün-    		Demokratie wiederbelebt,
   deten sind im Finanzhaushalt mehr als heute angemessen              dass nachhaltig Nachwuchs aus allen
   zu berücksichtigen. Umfang und Ausrüstung der Streitkräf-    		 Gesellschaftsschichten gewonnen wird und damit
   te müssen sich nach deren Aufgaben und den außen- und        		 eine intelligentere Armee möglich wird,
   sicherheitspolitischen Erfordernissen richten.                      dass ein breites Potential an
                                                                		Reservedienstleistenden entsteht.
     Ebenfalls geboten ist, die Nachrichtendienste umfangreich
   zu reorganisieren und zu reformieren. Sie sind ein wichtiges   Deshalb tritt die AfD dafür ein, für alle männlichen deut-
   Mittel, Gefahren im In- und Ausland zu erkennen und abzu-    schen Staatsbürger im Alter zwischen 18 und 25 Jahren
   wehren. Die bisher praktizierte Finanzierung nach Kassenla-  den Grundwehrdienst wieder einzusetzen. Die Dauer des
   ge lehnt die AfD ab.                                         Wehrdienstes richtet sich nach dem, was für die Sicherheit
                                                                notwendig ist. Sie muss eine gründliche militärische Ausbil-
   4.4.2 Wehrpflicht wieder einsetzen                           dung ermöglichen. Kriegsdienstverweigerer leisten Wehrer-
                                                                satzdienst. Frauen sollen die Möglichkeit haben, freiwillig in
     Art. 87a des Grundgesetzes bestimmt: „Der Bund stellt
                                                                den Streitkräften zu dienen.
   Streitkräfte zur Verteidigung auf.“ Die Landesverteidigung
   ist eine gesamtstaatliche Aufgabe. Sie betrifft den Kern                                                                    Die AfD tritt dafür ein,
                                                                4.5 Entwicklungshilfe
   staatlicher Existenz und unserer freiheitlich-demokrati-                                                                    für alle männlichen deutschen
   schen Grundordnung. Daher ist der Auftrag der Bundeswehr       Entwicklungshilfe sollte stets „Hilfe zur Selbsthilfe“ sein. Staatsbürger im Alter
                                                                                                                               zwischen 18 und 25 Jahren
   Verpflichtung für jeden Staatsbürger. Wir erkennen den       Hiervon zu trennen ist die humanitäre Hilfe, die sogenann-     den Grundwehrdienst
   Ausnahmefall des Rechts auf Kriegsdienstverweigerung aus     ten Transfers. Es liegt im deutschen Interesse, wenn die       wieder einzusetzen.
   Gewissensgründen an, sehen aber den Wehrdienst junger        Menschen in Entwicklungsländern eine Perspektive für ein
   Männer aus allen gesellschaftlichen Schichten in den Streit- menschenwürdiges Leben in ihrer Heimat erhalten. Die
   kräften als Regelfall an.                                    Auswanderung von Menschen in wirtschaftlicher Not nach
                                                                Deutschland löst die Probleme vor Ort nicht.
     Durch die Rückkehr zur Allgemeinen Wehrpflicht schaffen
   wir die Voraussetzungen dafür,                                 Angesichts des riesigen Bedarfs an Unterstützung der Ent-
                                                                wicklungsländer einerseits und der Begrenztheit der Mittel
          dass sich die Bevölkerung mit „ihren Soldaten”        andererseits ist angezeigt, die Maßnahmen zu konzentrieren.
          und „ihrer Bundeswehr” identifiziert, mit             Nur solche Projekte sind zu unterstützen, die das Empfän-
   		 Streitkräften, die in der Bevölkerung fest                gerland bzw. die einheimischen Unternehmen nach Ablauf
   		verankert sind,                                            der Projektdauer ohne fremde Hilfe selbständig weiterfüh-
          dass sich das Bewusstsein für die wehrhafte           ren können. Dabei muss die Hilfe zur Selbsthilfe die sicher-
"
33,"33 Programm für Deutschland | Außen- und Sicherheitspolitik
   heitspolitische und außenwirtschaftliche Interessenlage
   Deutschlands stärker als bisher berücksichtigen.
     Um die Entwicklungshilfe in die außenpolitische Ge-
   samtstrategie einzuordnen, soll sie zukünftig in das Auswär-
   tige Amt eingegliedert werden. Die Entwicklungshilfe-Orga-
   nisationen in Deutschland (GIZ, KfW Kapitalhilfe, etc.) sind
   zu straffen und besser zu koordinieren.
     Vorrang in der Entwicklungshilfe haben Maßnahmen, die
   investiv und organisatorisch durch private Unternehmen vor
   Ort begleitet werden können.
     Fluchtursachen in den Herkunftsländern müssen be-
   kämpft werden, auch wenn dies für die westliche Wirtschaft
   nachteilig ist.
"
34,"KAPITEL 5
Arbeitsmarkt und
Sozialpolitik
"
35,"35 Programm für Deutschland | Arbeitsmarkt und Sozialpolitik
   ARBEITSMARKT UND
   SOZIALPOLITIK
     Die Arbeitswelt soll es allen Bürgern ermöglichen, ein
   selbstbestimmtes Leben in relativem Wohlstand zu führen.
   Weil dieser Anspruch mit den Zielen der Wirtschaft nicht
   unbedingt deckungsgleich ist, muss der Staat einen ange-
   messenen Ordnungsrahmen schaffen.
      Dieser Rahmen darf diejenigen nicht zu sehr einschrän-
   ken, die viel leisten können und wollen, und gleichzeitig die-
   jenigen nicht aus dem Rahmen fallen lassen, die nicht in der
   Lage sind, für sich selbst zu sorgen. Die politische Gestaltung
   der Bedingungen des Erwerbslebens und aller Systeme, die
   den Erwerbslosen ausreichende Existenzbedingungen ge-
   währleisten, gehört daher zu den bedeutungsvollsten Politik-
   feldern moderner Staatlichkeit.
"
