id,preis,wohflaeche,grundstuecksflaeche,badezimmer,schlafzimmer,baujahr,garage,kamin,pool,umbau
49,177228,253,1111,2,3,1991,Ja,Ja,Nein,Ja
50,128207,186,1026,2,3,2007,Ja,Ja,Nein,Nein
51,150832,239,627,3,2,2008,Ja,Ja,Nein,Nein
52,134240,204,1054,2,2,1967,Ja,Ja,Nein,Ja
53,106714,258,893,2,3,1960,Ja,Nein,Nein,Nein
54,119157,241,867,2,3,1963,Ja,Nein,Nein,Ja
55,104828,149,415,2,2,2003,Ja,Nein,Nein,Nein
56,200531,277,840,2,2,2006,Ja,Ja,Nein,Nein
57,120666,195,649,2,3,1925,Ja,Ja,Nein,Ja
58,100982,144,669,1,2,1972,Ja,Nein,Nein,Ja
59,79941,278,752,2,2,1899,Ja,Nein,Nein,Ja
60,352947,460,1034,3,2,2005,Ja,Ja,Nein,Ja
61,144045,239,696,3,3,1997,Ja,Ja,Nein,Ja
62,186278,271,931,2,3,2003,Ja,Ja,Nein,Ja
63,126548,209,830,2,3,2006,Ja,Ja,Nein,Ja
64,111993,187,813,2,3,1969,Ja,Nein,Nein,Nein
65,185297,300,923,3,3,2007,Ja,Nein,Nein,Ja
66,104074,198,662,1,2,1927,Ja,Ja,Nein,Ja
67,117272,210,668,2,3,1917,Ja,Ja,Nein,Ja
68,246610,384,1181,3,4,2000,Ja,Ja,Nein,Nein
69,105582,200,1130,2,4,1925,Ja,Nein,Nein,Ja
70,95778,211,870,1,3,1946,Ja,Ja,Nein,Ja
71,116895,185,705,1,3,1965,Ja,Ja,Nein,Nein
72,180244,264,493,3,2,1986,Ja,Ja,Nein,Nein
73,108599,158,411,2,1,2004,Ja,Nein,Nein,Ja
74,67120,134,155,1,2,1973,Ja,Nein,Nein,Nein
75,84843,174,558,1,3,1959,Ja,Nein,Nein,Nein
76,110862,206,891,1,3,1949,Ja,Ja,Nein,Ja
77,105205,188,1164,1,3,1968,Ja,Nein,Nein,Nein
78,97437,171,816,1,3,1968,Ja,Ja,Nein,Nein
79,85974,177,696,1,3,1924,Ja,Nein,Nein,Ja
80,94270,198,950,1,3,1927,Ja,Nein,Nein,Ja
81,101435,174,780,2,2,1967,Ja,Nein,Nein,Nein
82,89368,282,577,2,5,1912,Ja,Nein,Nein,Ja
83,81072,230,650,2,3,1910,Nein,Nein,Nein,Ja
84,98041,251,2106,2,3,1953,Ja,Ja,Nein,Nein
85,471350,517,3321,4,4,1996,Ja,Ja,Nein,Ja
86,113690,223,686,2,3,1960,Ja,Nein,Nein,Ja
87,128207,211,1003,2,3,1935,Ja,Ja,Nein,Ja
88,230773,332,1330,3,4,1997,Ja,Ja,Nein,Nein
89,60333,159,485,1,2,1935,Ja,Nein,Nein,Ja
90,207394,315,1070,2,3,2006,Ja,Ja,Nein,Nein
91,117649,273,1124,2,3,1953,Ja,Ja,Nein,Ja
92,128961,239,858,1,4,1962,Ja,Ja,Nein,Nein
93,86728,253,666,2,4,1954,Ja,Nein,Nein,Nein
94,105582,211,958,2,3,1920,Ja,Nein,Nein,Ja
95,150832,314,719,2,4,1917,Ja,Nein,Nein,Ja
96,139143,164,1238,3,3,2003,Ja,Ja,Nein,Nein
97,209656,292,526,3,2,2000,Ja,Ja,Nein,Nein
98,75416,154,913,2,4,1967,Nein,Nein,Nein,Nein
99,187786,346,1152,2,4,1980,Ja,Ja,Nein,Ja
100,126699,236,711,2,3,1995,Ja,Ja,Nein,Ja
101,132732,211,653,2,2,2004,Ja,Nein,Nein,Nein
102,131978,240,735,2,3,1999,Ja,Ja,Nein,Ja
103,252644,354,1624,3,3,1959,Ja,Ja,Nein,Ja
104,111993,198,236,2,2,1977,Ja,Nein,Nein,Nein
105,79187,141,185,2,2,1973,Ja,Nein,Nein,Ja
106,115386,210,945,2,3,1955,Ja,Ja,Nein,Ja
107,97287,179,917,2,3,1971,Ja,Nein,Nein,Nein
108,99549,172,1237,1,2,1956,Ja,Nein,Nein,Ja
109,103697,216,872,1,3,1951,Ja,Nein,Nein,Nein
110,131224,206,246,2,2,1997,Ja,Nein,Nein,Ja
111,82958,150,530,1,2,1929,Ja,Nein,Nein,Ja
112,129527,259,292,2,2,2003,Ja,Ja,Nein,Nein
113,96155,290,916,1,3,1956,Ja,Ja,Nein,Nein
114,111616,164,814,1,3,1974,Ja,Nein,Nein,Nein
115,92008,284,488,2,4,1872,Nein,Nein,Nein,Ja
116,218706,323,1232,3,4,2004,Ja,Ja,Nein,Ja
117,172665,305,15298,4,3,1965,Ja,Ja,Nein,Nein
118,90499,160,900,1,3,1974,Ja,Nein,Nein,Nein
119,173457,215,1064,1,3,1929,Ja,Ja,Nein,Ja
120,105582,208,794,2,2,2004,Ja,Nein,Nein,Ja
121,135749,446,2056,4,5,1924,Ja,Ja,Nein,Ja
122,98795,187,636,2,3,1956,Ja,Nein,Nein,Nein
123,101812,208,958,1,3,1905,Ja,Nein,Nein,Ja
124,129338,244,944,2,2,1992,Ja,Ja,Nein,Nein
125,47047,162,769,1,3,1966,Ja,Ja,Nein,Nein
126,145930,283,1208,2,4,1970,Ja,Ja,Nein,Nein
127,159128,261,1044,2,3,2001,Ja,Nein,Nein,Nein
128,138011,263,1033,2,4,1967,Ja,Nein,Nein,Nein
129,132657,237,673,2,2,2005,Ja,Nein,Nein,Ja
130,171194,287,1362,2,4,1966,Ja,Ja,Nein,Ja
131,102566,192,737,1,3,1954,Ja,Nein,Nein,Nein
132,124738,223,644,2,3,2003,Ja,Ja,Nein,Ja
133,150832,361,1082,3,6,1969,Ja,Nein,Nein,Nein
134,109730,151,341,2,2,2005,Ja,Nein,Nein,Ja
135,238767,337,1144,2,1,1983,Ja,Ja,Nein,Ja
136,103697,228,570,1,4,1919,Ja,Nein,Nein,Ja
137,96532,185,557,1,3,1937,Ja,Nein,Nein,Ja
138,70891,167,588,1,2,1875,Nein,Nein,Nein,Ja
139,124436,201,757,2,3,1996,Ja,Ja,Nein,Ja
140,99926,173,1004,1,3,1977,Ja,Nein,Nein,Nein
141,48191,62,838,1,2,1949,Nein,Nein,Nein,Ja
142,263402,344,1145,4,4,2005,Ja,Ja,Nein,Nein
143,120666,173,203,3,2,1998,Ja,Nein,Nein,Ja
144,113049,199,1164,2,3,1972,Ja,Ja,Nein,Ja
145,127076,239,837,2,3,1964,Ja,Nein,Nein,Nein
146,77980,136,156,1,2,1972,Ja,Nein,Nein,Nein
147,154603,286,1273,2,3,2002,Ja,Ja,Nein,Ja
148,139520,267,1087,2,2,1970,Ja,Ja,Nein,Nein
149,110484,182,634,2,2,1921,Ja,Ja,Nein,Ja
150,122928,234,847,2,3,1958,Ja,Ja,Nein,Nein
151,60333,187,836,1,3,1959,Nein,Nein,Nein,Nein
152,110107,216,210,2,3,1977,Ja,Ja,Nein,Nein
153,138765,263,848,3,4,1927,Ja,Nein,Nein,Ja
154,154603,224,1272,2,2,1941,Ja,Ja,Nein,Ja
155,132355,230,893,1,3,1973,Ja,Ja,Nein,Nein
156,95024,184,816,1,3,1996,Ja,Nein,Nein,Nein
157,88991,175,155,1,3,1971,Ja,Nein,Nein,Nein
158,207394,275,1014,3,3,2004,Ja,Ja,Nein,Nein
159,124361,245,558,1,3,1939,Ja,Ja,Nein,Ja
160,192122,303,1147,2,4,2002,Ja,Ja,Nein,Nein
161,147665,222,781,2,3,2005,Ja,Nein,Nein,Nein
162,187409,299,868,2,3,2006,Ja,Ja,Nein,Nein
163,150832,320,1064,2,3,2004,Ja,Nein,Nein,Nein
164,160636,301,870,3,3,1974,Ja,Ja,Nein,Nein
165,173457,286,1587,3,4,1978,Ja,Ja,Nein,Ja
166,82581,145,838,1,2,1922,Ja,Nein,Nein,Ja
167,100303,250,837,2,4,1974,Ja,Nein,Nein,Nein
168,98795,231,1059,1,3,1948,Ja,Ja,Nein,Ja
169,151956,227,850,2,3,2005,Ja,Ja,Nein,Ja
170,96910,156,195,1,2,1974,Ja,Nein,Nein,Nein
171,165538,237,1217,1,3,1940,Ja,Ja,Nein,Ja
172,188540,304,1061,2,3,2006,Ja,Ja,Nein,Nein
173,139520,261,965,2,3,1980,Ja,Ja,Nein,Ja
174,127208,206,774,2,3,2006,Ja,Ja,Nein,Nein
175,102189,206,1528,1,3,1956,Ja,Nein,Nein,Nein
176,303172,379,4328,3,4,1993,Ja,Ja,Nein,Ja
177,238315,323,982,3,4,2003,Ja,Ja,Nein,Nein
178,70778,145,584,1,1,1930,Ja,Nein,Nein,Ja
179,209279,290,680,3,2,2005,Ja,Ja,Nein,Nein
180,116895,202,971,1,3,1952,Ja,Ja,Nein,Nein
181,223986,318,989,3,3,2008,Ja,Ja,Nein,Ja
182,109353,218,584,2,3,1926,Ja,Ja,Nein,Ja
183,125945,162,905,2,3,2004,Ja,Nein,Nein,Nein
184,136741,207,817,3,3,1993,Ja,Ja,Nein,Ja
185,71306,214,710,2,4,1919,Nein,Nein,Nein,Ja
186,161013,249,456,3,2,2000,Ja,Nein,Nein,Nein
187,226248,301,443,3,2,1999,Ja,Ja,Nein,Nein
188,122853,232,943,2,4,1976,Ja,Ja,Nein,Nein
189,118026,206,670,2,4,1910,Ja,Nein,Nein,Ja
190,159505,229,351,2,1,1981,Ja,Ja,Nein,Nein
191,118403,198,769,2,3,1975,Ja,Ja,Nein,Nein
192,218706,336,855,3,4,1991,Ja,Ja,Nein,Ja
193,105582,227,850,2,2,1966,Ja,Nein,Nein,Nein
194,155357,261,1183,2,3,1973,Ja,Ja,Nein,Nein
195,169686,271,1064,3,3,1994,Ja,Ja,Nein,Nein
196,192235,272,1167,2,3,2003,Ja,Ja,Nein,Ja
197,169686,276,999,2,3,2000,Ja,Ja,Nein,Nein
198,119911,227,894,1,3,2006,Ja,Nein,Nein,Nein
199,209279,362,1697,4,3,1962,Ja,Ja,Nein,Ja
200,44118,162,761,2,2,1913,Ja,Nein,Nein,Ja
201,147061,225,390,2,1,2007,Ja,Ja,Nein,Nein
202,125191,220,674,2,3,1992,Ja,Ja,Nein,Nein
203,93893,163,969,1,3,1985,Ja,Nein,Nein,Nein
204,61841,144,782,1,2,1949,Ja,Nein,Nein,Nein
205,71645,164,549,1,3,1890,Nein,Nein,Nein,Ja
206,118403,267,947,3,4,1974,Ja,Ja,Nein,Nein
207,142159,248,553,3,2,1989,Ja,Ja,Nein,Nein
208,33937,55,551,1,1,1939,Ja,Nein,Nein,Ja
209,242085,353,950,3,4,1994,Ja,Ja,Nein,Ja
210,135673,218,961,3,3,1990,Ja,Ja,Nein,Ja
211,64104,146,815,1,2,1908,Nein,Nein,Nein,Ja
212,101736,174,557,1,2,1938,Ja,Nein,Nein,Ja
213,141028,248,906,2,3,1964,Ja,Ja,Nein,Ja
214,137936,269,1166,2,3,1981,Ja,Ja,Nein,Nein
215,92460,197,851,1,3,1948,Ja,Nein,Nein,Ja
216,171194,292,912,3,3,2002,Ja,Nein,Nein,Nein
217,108599,224,932,2,3,1968,Ja,Nein,Nein,Nein
218,106337,205,819,1,4,1967,Ja,Nein,Nein,Nein
219,169611,307,1127,2,3,1998,Ja,Nein,Nein,Nein
220,107091,210,1215,1,3,2005,Nein,Nein,Nein,Nein
221,162144,266,804,2,3,2000,Ja,Ja,Nein,Nein
222,135749,211,278,3,2,2000,Ja,Nein,Nein,Nein
223,88237,154,500,1,2,1955,Ja,Nein,Nein,Ja
224,178359,329,1099,2,3,1999,Ja,Ja,Nein,Nein
225,136126,215,1312,2,3,1964,Ja,Ja,Nein,Nein
226,135749,258,1324,2,3,1956,Ja,Ja,Nein,Nein
227,108184,191,1089,2,3,1968,Ja,Nein,Nein,Nein
228,121043,184,667,2,3,1978,Ja,Ja,Nein,Nein
229,180621,307,743,3,2,1994,Ja,Nein,Nein,Ja
230,244348,332,1254,3,3,2007,Ja,Ja,Nein,Nein
231,142536,204,760,3,3,2005,Ja,Ja,Nein,Nein
232,69307,145,643,2,2,1955,Nein,Nein,Nein,Nein
233,70514,95,794,2,2,1950,Ja,Nein,Nein,Nein
234,101812,204,686,2,3,1955,Ja,Nein,Nein,Nein
235,97287,170,723,2,3,1963,Ja,Nein,Nein,Ja
236,84277,179,157,2,3,1972,Ja,Nein,Nein,Nein
237,136503,235,1005,2,3,1996,Ja,Ja,Nein,Ja
238,140085,276,851,2,3,1968,Ja,Ja,Nein,Nein
239,115764,239,418,3,2,1997,Ja,Nein,Nein,Nein
240,165538,249,579,2,2,2006,Ja,Ja,Nein,Ja
241,102490,233,531,3,6,1912,Nein,Nein,Nein,Ja
242,82882,221,447,2,2,1917,Ja,Nein,Nein,Ja
243,140651,254,955,3,3,2001,Ja,Ja,Nein,Nein
244,227379,370,1330,3,2,1994,Ja,Ja,Nein,Nein
245,121420,211,472,1,3,1925,Ja,Ja,Nein,Ja
246,142536,269,1042,2,3,1992,Ja,Ja,Nein,Nein
247,351816,489,1059,3,2,2000,Ja,Ja,Nein,Ja
248,100680,170,803,2,2,1964,Ja,Nein,Nein,Nein
249,177982,279,923,3,3,1993,Ja,Ja,Nein,Ja
250,226248,331,1381,3,3,2003,Ja,Ja,Nein,Ja
251,95778,162,665,1,3,1972,Ja,Nein,Nein,Nein
252,75416,210,765,1,3,1921,Ja,Nein,Nein,Ja
253,191557,245,580,3,2,2007,Ja,Ja,Nein,Nein
254,145063,242,964,3,2,1976,Ja,Ja,Nein,Ja
255,75793,136,175,1,2,1971,Ja,Nein,Nein,Nein
256,178359,353,2421,2,3,1956,Ja,Ja,Nein,Nein
257,108222,177,746,2,2,1958,Ja,Nein,Nein,Ja
258,126171,296,991,2,3,1971,Ja,Ja,Nein,Nein
259,109278,202,947,2,3,1955,Ja,Nein,Nein,Ja
260,136503,234,2293,2,3,2001,Ja,Ja,Nein,Nein
261,96532,183,571,2,3,1919,Ja,Nein,Nein,Ja
262,141028,244,1316,2,3,1956,Ja,Ja,Nein,Ja
263,113124,211,1059,1,3,1953,Ja,Ja,Nein,Ja
264,106337,205,1161,2,3,1958,Ja,Ja,Nein,Nein
265,72399,106,748,1,4,1945,Nein,Nein,Nein,Ja
266,111616,211,1004,1,3,1895,Nein,Nein,Nein,Ja
267,142159,201,724,3,3,2005,Ja,Ja,Nein,Ja
268,267727,341,1256,3,5,2005,Ja,Ja,Nein,Nein
269,165915,251,1029,2,1,2003,Ja,Ja,Nein,Nein
270,122551,191,809,2,3,1969,Ja,Nein,Nein,Nein
271,98795,188,2453,1,4,1881,Ja,Ja,Nein,Ja
272,237560,368,1557,3,3,2002,Ja,Ja,Nein,Ja
273,156111,260,826,3,3,1989,Ja,Ja,Nein,Nein
274,90122,175,905,1,3,1971,Ja,Nein,Nein,Nein
275,119082,267,905,1,4,1958,Ja,Nein,Nein,Nein
276,90876,150,548,1,2,1929,Ja,Nein,Nein,Ja
277,102566,339,1001,4,4,1966,Nein,Nein,Nein,Nein
278,101812,266,479,1,3,1927,Ja,Nein,Nein,Ja
279,96155,191,669,1,2,1925,Ja,Nein,Nein,Ja
280,116895,247,382,2,2,2002,Ja,Ja,Nein,Nein
281,130394,212,212,3,3,1999,Ja,Nein,Nein,Nein
282,100831,192,702,1,3,1959,Ja,Nein,Nein,Nein
283,92008,262,941,1,4,1911,Ja,Ja,Nein,Ja
284,180998,318,1127,2,3,2006,Ja,Ja,Nein,Ja
285,117649,183,1261,1,3,1996,Ja,Nein,Nein,Nein
286,94270,170,792,1,3,1968,Ja,Ja,Nein,Nein
287,120666,177,765,2,4,1981,Ja,Ja,Nein,Nein
288,75416,179,792,1,2,1922,Ja,Nein,Nein,Ja
289,96532,177,745,1,2,1980,Ja,Ja,Nein,Nein
290,147438,234,887,2,3,1998,Ja,Nein,Nein,Nein
291,96532,217,885,2,3,1952,Ja,Nein,Nein,Ja
292,95401,198,825,1,3,1961,Ja,Nein,Nein,Nein
293,202492,307,981,3,3,1998,Ja,Ja,Nein,Nein
294,92008,188,762,1,3,1940,Ja,Ja,Nein,Ja
295,193819,325,1450,3,4,1950,Ja,Ja,Nein,Ja
296,121043,221,419,3,2,1998,Ja,Nein,Nein,Nein
297,86354,191,334,1,3,1910,Ja,Nein,Nein,Ja
298,150832,248,812,3,3,1998,Ja,Ja,Nein,Nein
299,81855,223,998,1,3,1959,Ja,Nein,Nein,Nein
300,75039,132,687,1,2,1931,Ja,Nein,Nein,Ja
301,113049,215,214,2,3,1977,Ja,Ja,Nein,Nein
302,96532,193,682,1,3,1958,Ja,Nein,Nein,Nein
303,118780,203,972,2,3,1903,Ja,Ja,Nein,Ja
304,128207,201,344,1,2,1986,Ja,Nein,Nein,Nein
305,95778,171,793,2,3,1957,Ja,Nein,Nein,Ja
306,235675,336,1333,3,3,2002,Ja,Ja,Nein,Nein
307,90198,274,767,2,4,1894,Nein,Nein,Nein,Ja
308,158374,220,837,2,3,2007,Ja,Nein,Nein,Nein
309,214559,314,898,2,3,1996,Ja,Ja,Nein,Nein
310,115386,248,894,2,3,1954,Ja,Ja,Nein,Ja
311,152189,248,1272,1,4,1965,Ja,Ja,Nein,Ja
312,230698,373,964,3,3,2002,Ja,Nein,Nein,Ja
313,170440,276,655,3,3,2001,Ja,Ja,Nein,Nein
314,118026,256,742,2,3,1960,Ja,Ja,Nein,Nein
315,182507,341,1048,2,5,1967,Ja,Ja,Nein,Ja
316,127830,248,707,2,4,1963,Ja,Ja,Nein,Nein
317,167273,233,959,3,2,2010,Ja,Nein,Nein,Nein
318,95778,193,642,2,3,1961,Ja,Nein,Nein,Ja
319,124436,235,851,1,3,1963,Ja,Ja,Nein,Nein
320,239823,319,757,3,2,2007,Ja,Ja,Nein,Nein
321,110862,189,996,1,3,1920,Ja,Nein,Nein,Ja
322,111540,202,1538,2,3,1996,Ja,Nein,Nein,Nein
323,267727,381,1619,2,4,2000,Ja,Ja,Nein,Nein
324,92762,162,703,2,3,1971,Ja,Nein,Nein,Nein
325,169686,312,1157,2,4,2000,Ja,Ja,Nein,Ja
326,157544,274,1219,3,3,1999,Ja,Ja,Nein,Ja
327,185033,316,973,2,3,2007,Ja,Nein,Nein,Nein
328,214936,331,1116,2,4,2003,Ja,Ja,Nein,Ja
329,156488,244,471,3,2,2006,Ja,Ja,Nein,Ja
330,214936,324,919,3,3,1993,Ja,Ja,Nein,Ja
331,169611,247,759,3,3,2003,Ja,Nein,Nein,Nein
332,116895,205,930,2,3,1974,Ja,Nein,Nein,Nein
333,84843,177,594,2,2,1954,Ja,Nein,Nein,Nein
334,122928,223,1330,3,2,1975,Ja,Nein,Nein,Ja
335,237937,300,1198,3,2,2005,Ja,Ja,Nein,Ja
336,96155,199,377,2,2,1977,Ja,Ja,Nein,Nein
337,158374,335,1225,3,3,1978,Ja,Ja,Nein,Ja
338,143290,262,1374,2,4,1970,Ja,Ja,Nein,Nein
339,92008,166,913,1,3,1965,Ja,Nein,Nein,Nein
340,156111,243,1086,2,3,2000,Ja,Ja,Nein,Ja
341,133863,166,830,2,3,1997,Ja,Ja,Nein,Nein
342,150832,313,849,3,3,2003,Ja,Nein,Nein,Nein
343,99926,214,717,2,3,1963,Ja,Nein,Nein,Nein
344,137182,235,1005,3,3,1983,Ja,Nein,Nein,Nein
345,98041,162,648,1,3,1971,Ja,Nein,Nein,Ja
346,116895,209,1271,2,3,2002,Ja,Nein,Nein,Ja
347,144610,249,1079,2,3,1993,Ja,Nein,Nein,Ja
348,180998,294,1230,3,3,2005,Ja,Ja,Nein,Nein
349,125945,237,987,2,2,1968,Ja,Ja,Nein,Nein
350,139520,283,1106,3,3,1975,Ja,Ja,Nein,Nein
351,154603,283,825,3,3,1994,Ja,Ja,Nein,Ja
352,97287,169,759,2,3,1966,Ja,Nein,Nein,Nein
353,107091,197,785,2,3,1967,Ja,Ja,Nein,Nein
354,237560,379,999,3,3,1994,Ja,Ja,Nein,Ja
355,127453,215,1371,2,2,1948,Ja,Ja,Nein,Ja
356,122551,223,363,2,2,1989,Ja,Ja,Nein,Nein
357,203246,368,741,6,6,1999,Ja,Ja,Nein,Nein
358,206640,305,903,3,3,2000,Ja,Ja,Nein,Ja
359,98041,170,629,2,3,1961,Ja,Ja,Nein,Nein
360,105582,240,655,2,4,1962,Ja,Ja,Nein,Nein
361,150832,239,247,3,3,1998,Ja,Nein,Nein,Ja
362,210788,296,1021,3,4,1995,Ja,Ja,Nein,Ja
363,122928,238,788,2,3,1995,Ja,Nein,Nein,Ja
364,94270,177,1016,1,2,1953,Ja,Nein,Nein,Nein
365,132657,219,665,2,3,1993,Ja,Nein,Nein,Nein
366,119157,211,894,2,3,1968,Ja,Nein,Nein,Nein
367,124550,235,966,2,4,1973,Ja,Ja,Nein,Nein
368,107091,169,628,2,3,1960,Ja,Nein,Nein,Ja
369,151209,436,1676,3,3,1946,Nein,Ja,Nein,Ja
370,226248,315,887,3,3,2001,Ja,Ja,Nein,Nein
371,132657,277,337,2,1,2009,Ja,Ja,Nein,Nein
372,252644,347,2431,3,4,1989,Ja,Ja,Nein,Ja
373,122174,192,955,2,3,1985,Ja,Nein,Nein,Nein
374,93516,239,1728,2,4,1937,Ja,Ja,Nein,Ja
375,49020,135,835,1,3,1921,Ja,Nein,Nein,Ja
376,163653,275,861,3,3,1997,Ja,Nein,Nein,Nein
377,85220,126,867,2,2,1941,Ja,Nein,Nein,Ja
378,80695,196,825,2,2,1965,Ja,Nein,Nein,Nein
379,113049,242,885,1,5,1953,Ja,Nein,Nein,Nein
380,179867,263,697,2,2,2005,Ja,Ja,Nein,Ja
381,103320,173,1257,2,3,1966,Ja,Nein,Nein,Nein
382,89745,193,640,1,3,1938,Ja,Nein,Nein,Ja
383,127453,194,972,2,2,1980,Ja,Ja,Nein,Nein
384,98041,309,891,2,4,1922,Ja,Nein,Nein,Ja
385,81449,184,1294,2,3,1939,Nein,Ja,Nein,Ja
386,138011,228,670,2,3,2001,Ja,Nein,Nein,Nein
387,192235,276,1027,3,3,1997,Ja,Ja,Nein,Ja
388,67874,96,669,2,2,1949,Ja,Nein,Nein,Ja
389,126322,253,1062,1,3,1909,Ja,Nein,Nein,Ja
390,150832,300,2045,2,3,1959,Ja,Ja,Nein,Ja
391,101812,191,313,1,3,1949,Ja,Ja,Nein,Ja
392,192311,345,1177,3,4,1952,Ja,Ja,Nein,Ja
393,70514,174,555,2,2,1919,Nein,Nein,Nein,Ja
394,109353,198,3218,2,3,1956,Ja,Nein,Nein,Nein
395,105733,238,597,1,3,1939,Ja,Ja,Nein,Ja
396,257169,346,979,3,3,1993,Ja,Ja,Nein,Ja
397,139520,201,1316,2,1,1955,Ja,Ja,Nein,Nein
398,156111,254,586,3,2,2006,Ja,Ja,Nein,Ja
399,149248,246,966,2,3,1998,Ja,Nein,Nein,Nein
400,108599,220,1054,1,3,1958,Ja,Nein,Nein,Nein
401,120666,220,889,2,3,1991,Ja,Nein,Nein,Ja
402,88614,300,919,2,5,1879,Ja,Nein,Nein,Ja
403,94270,202,891,1,3,1925,Ja,Nein,Nein,Ja
404,133486,210,1288,2,3,1998,Ja,Nein,Nein,Nein
405,150757,261,1042,2,4,1998,Ja,Ja,Nein,Ja
406,192311,301,1253,3,3,2005,Ja,Ja,Nein,Nein
407,145176,231,1187,2,3,2004,Ja,Nein,Nein,Ja
408,127453,317,1093,1,3,1955,Ja,Ja,Nein,Nein
409,75416,165,664,1,3,1966,Ja,Nein,Nein,Nein
410,113049,273,1651,1,3,1958,Ja,Ja,Nein,Nein
411,138765,303,1153,3,3,1986,Ja,Ja,Nein,Nein
412,118026,274,781,2,3,1958,Ja,Ja,Nein,Nein
413,79187,168,842,1,2,1940,Ja,Nein,Nein,Ja
414,141405,234,810,2,3,1995,Ja,Ja,Nein,Ja
415,96532,199,892,2,2,1950,Ja,Nein,Nein,Ja
416,125191,258,1108,2,3,1957,Ja,Ja,Nein,Nein
417,124436,256,1236,2,3,1954,Ja,Ja,Nein,Nein
418,105582,149,343,2,2,2005,Ja,Nein,Nein,Nein
419,101435,176,870,1,3,1962,Ja,Nein,Nein,Ja
420,76924,192,824,1,2,1951,Ja,Nein,Nein,Nein
421,75416,156,1005,1,2,1884,Ja,Nein,Nein,Ja
422,130470,223,1312,2,3,1965,Ja,Nein,Nein,Nein
423,116895,141,412,2,1,1979,Ja,Ja,Nein,Nein
424,285827,346,1129,3,3,2005,Ja,Ja,Nein,Nein
425,173457,245,464,3,2,2007,Ja,Ja,Nein,Ja
426,135673,195,1087,2,3,1968,Ja,Ja,Nein,Nein
427,90424,160,670,1,3,1974,Ja,Nein,Nein,Nein
428,131978,276,1136,2,3,1972,Ja,Ja,Nein,Nein
429,122928,224,1004,2,3,1904,Ja,Ja,Nein,Ja
