text,page
"                                              Präambel       11


gelebte Tradition der deutschen Kultur. Denn Demokratie
und Freiheit stehen auf dem Fundament gemeinsamer
kultureller Werte und historischer Erinnerungen. In der
Tradition der beiden Revolutionen von 1848 und 1989
artikulieren wir mit unserem bürgerlichen Protest den
Willen, die nationale Einheit in Freiheit zu vollenden und
ein Europa souveräner demokratischer Staaten zu schaf-
fen, die einander in Frieden, Selbstbestimmung und guter
Nachbarschaft verbunden sind.

Wir setzen uns mit ganzer Kraft dafür ein, unser Land
im Geist von Freiheit und Demokratie grundlegend zu
erneuern und eben diesen Prinzipien wieder Geltung zu
verschaffen. Wir sind offen gegenüber der Welt, wollen
aber Deutsche sein und bleiben. Wir wollen die Würde des
Menschen, die Familie mit Kindern, unsere abendländi-
sche christliche Kultur, unsere Sprache und Tradition in
einem friedlichen, demokratischen und souveränen Natio-
nalstaat des deutschen Volkes dauerhaft erhalten.

Unsere Ziele werden Wirklichkeit, indem wir den Staat
und seine Organe wieder in den Dienst der Bürger stellen,
so wie es der im Grundgesetz geregelte Amtseid aller Re-
gierungsmitglieder vorsieht:

„Ich schwöre, dass ich meine Kraft dem Wohle des deut-
schen Volkes widmen, seinen Nutzen mehren, Schaden
von ihm wenden, das Grundgesetz und die Gesetze des
Bundes wahren und verteidigen, meine Pflichten gewis-
senhaft erfüllen und Gerechtigkeit gegen jedermann üben
werde.“

In diesem Sinne geben wir uns
das nachfolgende Grundsatzprogramm.
",11
,12
"KAPITEL 1




Demokratie und
Grundwerte
KAPITEL 1




Demokratie und
Grundwerte
",13
"14   Demokratie und Grundwerte




     DEMOKRATIE UND GRUNDWERTE
     Wir wollen Deutschland reformieren und an die Prinzipien
     und Wurzeln anknüpfen, die erst zu seinem Wirtschafts-
     wunder und dann zu seinem jahrzehntelangen sozialen,
     wirtschaftlichen und gesellschaftlichen Erfolg geführt
     haben.

     Deutschlands Staatsapparat hat inzwischen ein ungutes Ei-
     genleben entwickelt. Die Machtverteilung entspricht nicht
     mehr den Grundsätzen der Gewaltenteilung. Zudem ist der
     öffentliche Sektor über sachgerechte Grenzen hinausgewu-
     chert. Die staatlichen Organe wieder an ihren Auftrag zu
     binden und den Staat an seine Kernaufgaben zu erinnern,
     ist wesentlicher Teil unserer Politik.

     Spätestens mit den Verträgen von Schengen (1985),
     Maastricht (1992) und Lissabon (2007) hat sich die unan-
     tastbare Volkssouveränität als Fundament unseres Staates
     als Fiktion herausgestellt.
",14
"                          Demokratie und Grundwerte            15




Heimlicher Souverän ist eine kleine, machtvolle politische
Führungsgruppe innerhalb der Parteien. Sie hat die Fehl-
entwicklungen der letzten Jahrzehnte zu verantworten. Es
hat sich eine politische Klasse von Berufspolitikern heraus-
gebildet, deren vordringliches Interesse ihrer Macht, ihrem
Status und ihrem materiellen Wohlergehen gilt. Es handelt
sich um ein politisches Kartell, das die Schalthebel der
staatlichen Macht, soweit diese nicht an die EU übertragen
worden ist, die gesamte politische Bildung und große Teile
der Versorgung der Bevölkerung mit politischen Informa-
tionen in Händen hat.

Nur das Staatsvolk der Bundesrepublik Deutschland kann
diesen illegitimen Zustand beenden.
",15
"             16        Demokratie und Grundwerte




                       1.1 Volksabstimmungen nach Schweizer Vorbild

                       Die AfD setzt sich dafür ein, Volksentscheide in Anlehnung
                       an das Schweizer Vorbild auch in Deutschland einzufüh-
                       ren. Wir wollen dem Volk das Recht geben, über vom
                       Parlament beschlossene Gesetze abzustimmen. Dieses
                       Recht würde in kürzester Zeit präventiv mäßigend auf das
                       Parlament wirken und die Flut der oftmals unsinnigen
                       Gesetzesvorlagen nachhaltig eindämmen. Zudem würden
                       die Regelungsinhalte sorgfältiger bedacht, um in Volks-
                       abstimmungen bestehen zu können. Auch Beschlüsse des
                       Parlaments in eigener Sache, beispielsweise über Diäten
                       oder andere Mittelzuweisungen, würden wegen der Über-
                       prüfungsmöglichkeit der Bürger maßvolle Inhalte haben.
                       Gesetzesinitiativen aus dem Volk haben eigene Gesetzes-
                       vorlagen zum Gegenstand und können durch die Stimm-
                       bürger angestoßen werden.


Die AfD setzt sich     Ohne Zustimmung des Volkes darf das Grundgesetz nicht
dafür ein, Volksent-   geändert und kein bedeutsamer völkerrechtlicher Vertrag
scheide in Anlehnung
an das Schweizer
                       geschlossen werden. Das Volk muss das Recht haben,
Vorbild auch in        auch initiativ über Änderungen der Verfassung selbst zu
Deutschland            beschließen. Besonders der Abgabe nationaler Souveräni-
einzuführen.
                       tät an die EU und andere internationale Organisationen
                       über die Köpfe der Bürger hinweg ist hierdurch der Riegel
                       vorgeschoben.

                       Das deutsche Volk ist ebenso mündig wie das der Schwei-
                       zer, um ohne Einschränkung über jegliche Themen direkt
                       abzustimmen. Eine natürliche Schranke ergibt sich durch
                       Grundsätze des Völkerrechts.

                       Die Schweizer Erfahrung belegt, dass sich die Bürger
                       gemeinwohlorientierter verhalten als Berufspolitiker,
",16
"                         Demokratie und Grundwerte            17




selbst wenn Eigeninteressen damit kollidieren. Macht- und
interessengetriebene Entscheidungen sind eher in rein
repräsentativen Demokratien zu beobachten.

Abstimmungsfragen finanzieller Natur sind ausdrücklich
erlaubt. Deutschland steht in einigen gesellschaftlichen
Themen vor elementaren politischen Weichenstellungen.
Die Verantwortung hierfür kann und darf keine Regie-
rung ohne eine unmittelbare Befragung der Bürger über-
nehmen. Die Einführung von Volksabstimmungen nach
Schweizer Modell ist für die AfD deshalb nicht verhandel-
barer Inhalt jeglicher Koalitionsvereinbarungen.

1.2 Schlanker Staat für freie Bürger

Der Staat ist für den Bürger da, nicht der Bürger für den
Staat. Nur ein schlanker Staat kann daher ein guter Staat
sein. Erforderlich ist ein vom Staat garantierter Ordnungs-
rahmen, in dem sich die Bürger frei entfalten können.
Die ständige, vielfach ideologiegetriebene Expansion der
Staatsaufgaben stößt an finanzielle und faktische Grenzen.
Sie bedroht inzwischen den Kerngehalt der elementaren
Freiheitsrechte der Bürger. Der Staat hat sich verzettelt.
Es bedarf neuer Konzentration auf die vier klassischen
Gebiete: Innere und äußere Sicherheit, Justiz, Auswärtige
Beziehungen und Finanzverwaltung.

Aufgaben jenseits dieser vier Kerngebiete bedürfen be-
sonderer Rechtfertigung. Wir wollen prüfen, inwieweit
vorhandene staatliche Einrichtungen durch private oder
andere Organisationsformen ersetzt werden können. Die
gewaltige demografische Problemlage, die uns in Deutsch-
land bevorsteht, wird uns zu einem veränderten Staatsver-
ständnis zwingen.
",17
"18   Demokratie und Grundwerte




     Grundlage unserer politischen Überzeugungen ist ein dif-
     ferenziertes Menschenbild, das sich der Freiheitschancen,
     aber auch der Gefährdungen des Menschen stets bewusst
     bleibt. Wir glauben nicht an die Verheißungen politischer
     Ideologien oder an die Heraufkunft eines besseren, eines
     ‚Neuen Menschen‘. Eine Geschichtsphilosophie, die von
     einer Höherentwicklung der individuellen menschlichen
     Moral ausgeht, halten wir für anmaßend und gefährlich.

     Die geschichtliche Entwicklung bleibt unabgeschlossen
     und offen für überraschende Wendungen und Aufbrüche,
     aber auch für Krisen und Katastrophen. Insofern wird es
     auch niemals ein ‘Ende der Geschichte‘ geben, also eine Si-
     tuation, in der Politik gänzlich aufhört und das Ringen um
     den richtigen politischen Weg überflüssig wird. Freiheit,
     Stabilität und wirtschaftliches Wohlergehen müssen in je-
     der Generation aufs Neue errungen und gesichert werden.

     Eine realistische Politik sollte sich der Unvollkommenheit
     und Vorläufigkeit ihrer möglichen Ergebnisse stets be-
     wusst bleiben. Sie sollte einkalkulieren, dass kein noch so
     kluger politischer Akteur eine vollständige Kenntnis der
     Bedingungen und Möglichkeiten seines Handelns erlangen
     kann. Die auf vielen Politikfeldern durch die etablierten
     Parteien propagierte Alternativlosigkeit vermeintlicher
     Sachzwänge halten wir für in hohem Maße demokratie-
     und rechtsstaatsgefährdend.

     Rechtsstaatsprinzip und Vertragstreue sowie demokrati-
     sche Legitimation haben für uns Vorrang vor kurzfristigem
     Aktionismus und wahlwirksamer Effekthascherei. Als
     ‚Partei des gesunden Menschenverstandes‘ setzen wir auf
     das politische Urteilsvermögen und die Verantwortungs-
",18
"                         Demokratie und Grundwerte            19




bereitschaft der mündigen Bürger. Richtschnur unseres
Handelns ist die Grundüberzeugung, dass die Bürger das
politische Geschehen so weit wie möglich selbst bestim-
men können sollen.

1.3 Die Gewaltenteilung gewährleisten

Der Staat Bundesrepublik Deutschland ist nach der
deutschen Verfassungstradition von 1848, 1871 und 1919
im Grundgesetz von 1949 als Rechtsstaat mit Gewalten-
teilung angelegt. Die Gewaltenteilung - eine staatstheore-
tische Grundlage jeder modernen Demokratie - ist jedoch
durch zahlreiche einfachgesetzliche Regelungen erheblich
beeinträchtigt. Es geht dabei im Kern um die wechselsei-
tige Kontrolle der legislativen, exekutiven und judikativen
Funktionen eines Staates. Ihr Ziel ist es, überbordende
unkontrollierte Ausübung von Staatsgewalt zu verhindern.
Minister als Abgeordnete in Parlamenten, welche die
Exekutive kontrollieren sollen, und ehemalige Politiker auf
Richterstühlen sind mit dem urdemokratischen Konstruk-
tionsprinzip der Gewaltenteilung nicht vereinbar. Das glei-
che gilt für parteipolitische Netzwerke, sofern diese über
persönliche Beziehungen der Amts- und Funktionsträger
die wechselseitige Machtkontrolle der Gewalten behindern
oder aushöhlen.

1.4 Trennung von Amt und Mandat

Der schwerwiegendste Verstoß gegen die Gewaltenteilung
findet derzeit dadurch statt, dass die Exekutive (vollzie-
hende Gewalt) als Regierung nicht von der Legislative
(gesetzgebende Gewalt, Parlament) personell getrennt
ist. Die AfD will hier gegensteuern. Jeder Beamte muss
",19
"20   Demokratie und Grundwerte




     beim Eintritt in ein deutsches Parlament - dem Prinzip der
     Gewaltenteilung folgend - sein Beamtenverhältnis ruhen
     lassen. Jedoch ausgerechnet bei den Spitzen der Exekutive
     ist dieses Prinzip ausgesetzt. Wer Parlamentarier ist, soll
     in Zukunft nicht mehr Teil der Exekutive sein dürfen und
     umgekehrt. Parlamentarische Staatssekretäre und Staats-
     minister sind ersatzlos abzuschaffen. Minister, Kanzler
     und Ministerpräsidenten sollen nicht mehr zugleich Par-
     lamentsmitglieder sein. Die Funktionen von „politischen
     Beamten“ in der Staatsverwaltung sind ebenfalls abzu-
     schaffen, von Ministerialdirektoren bis hin zu Polizeipräsi-
     denten. Die Mitarbeiter der öffentlichen Verwaltung haben
     unabhängig und loyal zu sein. Beamten- und Richterstellen
     sind nach Qualifikation und fachlicher Leistung zu beset-
     zen (Artikel 33 Absatz 2 GG). Die „Parteibuchwirtschaft“
     muss beendet werden. Ämterpatronage ist unter Strafe zu
     stellen.

     1.5 Macht der Parteien beschränken

     Parteien sollen am politischen System mitwirken (Art. 21
     Abs. 1 GG), es aber nicht beherrschen. Die Allmacht der
     Parteien und deren Ausbeutung des Staates gefährden un-
     sere Demokratie. Diese Allmacht ist Ursache der verbrei-
     teten Politikverdrossenheit und nicht zuletzt auch Wurzel
     der gesellschaftsschädigenden Politischen Korrektheit und
     des Meinungsdiktats in allen öffentlichen Diskursen. Nur
     direkt-demokratische Entscheidungen des Volkes können
     die Parteien wieder in das demokratische System integ-
     rieren. Die Abgeordneten unserer Parlamente haben ihre
     Funktion als Mandatare der Bürger verloren. Ihre Loyalität
     gilt zuerst der politischen Partei, der sie angehören. Von
     ihr erhalten sie ihre Wahlchancen und ihre Wahl sichert
",20
"                         Demokratie und Grundwerte           21




typischerweise ihren Lebensunterhalt. Mit dieser Abhän-
gigkeit von der Partei geht die Entfremdung vom Wähler
einher.

1.5.1 Parteienfinanzierung dem
Verfassungsrecht anpassen

Die Parteienfinanzierung muss verfassungskonform auf
einen angemessenen Umfang begrenzt werden. Bis 1959
gab es in der Bundesrepublik keine staatliche Finanzierung
der Parteien. Ab 1959 wurde das Institut der sogenannten
Wahlkampfkostenerstattung geschaffen. Inzwischen ist
durch das Parteiengesetz ein Finanzierungssystem unter
dem Begriff der „staatlichen Teilfinanzierung” entstanden.
Danach haben die Parteien einen rechtlichen Anspruch
auf jährlich wiederkehrende Zahlungen. Diese betrugen
im Jahr 2015 159,2 Millionen EURO. Zusätzlich haben die
Abgeordneten der Parlamente Ansprüche auf Mitarbeiter-
pauschalen, zum Beispiel jeder Bundestagsabgeordnete auf
20.000 EURO pro Monat. In 2015 bedeutet dies allein für
den Bundestag jährliche Kosten in Höhe von 172 Millionen
für ca. 7.000 Mitarbeiter. Darüber hinaus werden ohne
gesetzliche Grundlage den Fraktionen des Bundestages
Finanzmittel zur Verfügung gestellt für sogenannte wis-
senschaftliche Beratung, in 2015 in Höhe von 83 Millionen
EURO. Ohne direkten Zusammenhang zum Parteienge-
schehen gibt es noch die juristische Konstruktion soge-
nannter parteinaher Stiftungen. Dabei handelt es sich
um Vereine, die durch jährliche Direkt-Zuweisungen aus
Mitteln des Bundeshaushaltes finanziert werden, im Jahr
2015 in der Grundförderung mit 95 Millionen EURO.
",21
"22   Demokratie und Grundwerte




     Insgesamt handelt es sich bei dem derzeitigen System
     der Parteienfinanzierung um ein weitgehend verdecktes
     System, bei dem den Parteien ein Vielfaches der Mittel
     zufließt, welche im Parteiengesetz eigentlich als Höchst-
     betrag festgelegt sind. Nach der Rechtsprechung des
     Bundesverfassungsgerichtes sind sowohl die Form dieser
     Finanzierung wie die Höhe der fließenden Mittel als ver-
     fassungswidrig einzustufen.

     Die verdeckte Parteienfinanzierung ist gänzlich aus dem
     Ruder gelaufen und macht mittlerweile jährlich etwa 600
     Millionen EURO aus, also das Vierfache der eigentlichen –
     verfassungsgerichtlich gedeckelten – Parteienfinanzierung.

     Die AfD will, dass die gesamte staatliche Parteienfinan-
     zierung auf eine neue gesetzliche Grundlage gestellt wird.
     Oberster Maßstab für die Neuregelung ist eine transparen-
     te und summenmäßig begrenzte Zuschuss-Finanzierung
     ausschließlich an die Parteien nach Maßstäben der Recht-
     sprechung des Bundesverfassungsgerichtes. Alle Mittel der
     Parteienfinanzierung sind entgegen derzeitiger Praxis der
     unbeschränkten Kontrolle der Rechnungshöfe zu unter-
     werfen. Die Feststellungen des Rechnungshofes sind der
     Öffentlichkeit zugängig zu machen. Unabdingbar ist auch
     eine restriktive und Korruption vermeidende Neuordnung
     der Spendenregelungen. Ferner soll den deutschen Partei-
     en die Beteiligung an Unternehmen sowie die Annahme
     von Firmen-Spenden verboten werden.

     1.5.2 Freie Listenwahl und freies Mandat

     Die politische Klasse Deutschlands hat das Wahlrecht und
     die Wahlverfahren im Laufe der Zeit immer trickreicher
",22
"                         Demokratie und Grundwerte           23




                                                             Die AfD strebt eine
ausgenutzt und angepasst, um den Einfluss des Volkes zu
                                                             Neugestaltung des
minimieren. Mit der nach Grundgesetz und Bundeswahl-         Wahlsystems an, die
gesetz deklarierten Personenwahl ist es nicht weit her.      dem Wähler die
                                                             Entscheidung über die
Dem Wähler werden starre Wahllisten der Parteien zum         personelle
Ankreuzen vorgelegt. Die Erststimme hat auf die konkrete     Zusammensetzung der
                                                             Parlamente zurückge-
personelle Besetzung des Parlaments eine nur geringe Aus-
                                                             ben und das „freie
wirkung. In Wahrheit wird über die „sicheren Listenplätze”   Mandat“ der
die Zusammensetzung der Parlamente durch die Parteien        Abgeordneten stärken
                                                             soll.
gesteuert.

Die AfD strebt eine Neugestaltung des Wahlsystems an, die
dem Wähler die Entscheidung über die personelle Zusam-
mensetzung der Parlamente zurückgibt und das „Freie
Mandat“ der Abgeordneten stärken soll. Wir treten für die
„freie Listenwahl“ bei Landtags- und Bundestagswahlen
ein, mit der Möglichkeit des Kumulierens, Panaschierens
und Streichens von Kandidaten.

Die AfD will zudem künftig die Erringung eines Abgeord-
netenmandates an eine festgesetzte Soll-Zahl von Wähler-
stimmen knüpfen. Im Falle einer niedrigen Wahlbeteili-
gung bedeutet dies eine Verkleinerung der Parlamente.

1.5.3 Verkleinerung des Bundestages

Wir dringen ferner auf eine deutliche Verkleinerung des
Bundestages und der Länderparlamente. Eine Reduzie-
rung der Zahl von derzeit etwa 2.500 Parlamentariern und
der mit dieser einhergehenden Verwaltung würde zu einer
enormen Kosteneinsparung und Erhöhung der Arbeits-
qualität führen. Ein Bundestagsabgeordneter vertritt etwa
128.000 Einwohner, in den USA beträgt das Verhältnis im
Vergleich 1:600.000. Für den Bundestag erachten wir die
",23
