neg_pos,word,value,inflections
neg,Armut,-0.2038,NA
neg,Arroganz,-0.3289,NA
neg,Arschloch,-0.1901,"Arschlöcher,Arschlochs,Arschlöchern,Arschloches"
neg,Attacke,-0.47,Attacken
neg,Aufhebung,-0.0048,Aufhebungen
neg,Auflösung,-0.0048,Auflösungen
neg,Aufregung,-0.0386,Aufregungen
neg,Aufruhr,-0.0048,"Aufruhre,Aufruhrs,Aufruhren,Aufruhres"
neg,Aufschrei,-0.0048,"Aufschreien,Aufschreis,Aufschreie,Aufschreies"
neg,Aufstand,-0.0048,"Aufstandes,Aufstände,Aufstands,Aufstanden,Aufständen,Aufstande"
neg,Ausbeute,-0.1894,Ausbeuten
neg,Ausbeuter,-0.0048,"Ausbeuters,Ausbeutern"
neg,Ausbeutung,-0.0048,Ausbeutungen
neg,Ausbruch,-0.0048,"Ausbruchs,Ausbruches,Ausbrüche,Ausbrüchen"
neg,Auseinandersetzung,-0.0603,Auseinandersetzungen
neg,Ausfall,-0.2164,"Ausfällen,Ausfälle,Ausfalles,Ausfalls"
neg,Ausgrenzung,-0.626,NA
neg,Auslöschung,-0.0048,Auslöschungen
neg,Ausrottung,-0.0048,Ausrottungen
neg,Ausschließung,-0.0048,Ausschließungen
neg,Aussetzung,-0.0048,Aussetzungen
neg,Banalität,-0.0048,Banalitäten
neg,Bankrott,-0.0048,"Bankrotte,Bankrotts,Bankrottes,Bankrotten"
neg,Barriere,-0.0048,Barrieren
neg,Bedeutungslosigkeit,-0.0048,NA
neg,Bedrohung,-0.0048,Bedrohungen
neg,Bedrängung,-0.0048,Bedrängungen
neg,Bedrückung,-0.0435,Bedrückungen
neg,Bedürftige,-0.0048,NA
neg,Beeinträchtigung,-0.3472,Beeinträchtigungen
neg,Befall,-0.0048,"Befalls,Befälle,Befällen,Befalles"
neg,Befangenheit,-0.0048,Befangenheiten
neg,Befürchtung,-0.4903,Befürchtungen
neg,Begrenzung,-0.0048,Begrenzungen
neg,Behinderung,-0.3578,Behinderungen
neg,Belastung,-0.3711,Belastungen
neg,Beleidigung,-0.3432,Beleidigungen
neg,Belästigung,-0.0048,Belästigungen
neg,Beschneidung,-0.3313,Beschneidungen
neg,Beschränkung,-0.3518,Beschränkungen
neg,Beschuldigung,-0.3209,Beschuldigungen
neg,Beschwerde,-0.0048,Beschwerden
neg,Beschwerlichkeit,-0.0048,Beschwerlichkeiten
neg,Beschädigung,-0.0048,Beschädigungen
neg,Beschäftigungslose,-0.0048,NA
neg,Beschäftigungsloser,-0.0048,NA
neg,Beschämung,-0.0048,Beschämungen
neg,Beseitigung,-0.0048,"Beseitigungnen,Beseitigungen"
neg,Besorgnis,-0.0048,"Besorgnissen,Besorgnisse"
neg,Bestechung,-0.0048,Bestechungen
neg,Besteuerung,-0.0048,Besteuerungen
neg,Bestrafung,-0.0048,Bestrafungen
neg,Bestürzung,-0.0048,NA
neg,Betrug,-0.4913,"Betrugs,Betruges"
neg,Betrüger,-0.3311,"Betrügers,Betrügern"
neg,Beule,-0.0048,Beulen
neg,Beunruhigung,-0.324,Beunruhigungen
neg,Bevormundung,-0.0048,Bevormundungen
neg,Bitterkeit,-0.0048,NA
neg,Blindheit,-0.0048,NA
neg,Blockade,-0.0048,Blockaden
neg,Blockierung,-0.0048,Blockierungen
neg,Blödheit,-0.0048,Blödheiten
neg,Bombardement,-0.0048,Bombardements
neg,Bombardierung,-0.0048,Bombardierungen
neg,Bombe,-0.0048,Bomben
neg,Bosheit,-0.3371,Bosheiten
neg,Brand,-0.0048,"Bränden,Brände,Brandes,Brands"
neg,Bruch,-0.3463,"Bruchs,Brüche,Bruches,Brüchen"
neg,Brutalität,-0.0048,Brutalitäten
neg,Bußgeld,-0.3377,"Bußgeldes,Bußgelds,Bußgelder,Bußgeldern"
neg,Bösartigkeit,-0.3189,NA
neg,Bösewicht,-0.0048,"Bösewichten,Bösewichte,Bösewichts,Bösewichtes"
neg,Bürde,-0.0524,Bürden
neg,Chaos,-0.3489,NA
neg,Crash,-0.1885,Crashs
neg,Defekt,-0.0048,"Defekten,Defekts,Defektes,Defekte"
neg,Defizit,-0.347,"Defiziten,Defizits,Defizite"
neg,Deformation,-0.0048,Deformationen
neg,Degradierung,-0.3137,Degradierungen
neg,Dekadenz,-0.0048,NA
neg,Demütigung,-0.0048,Demütigungen
neg,Denkfehler,-0.0048,"Denkfehlern,Denkfehlers"
neg,Depression,-0.4951,Depressionen
neg,Desaster,-0.3413,"Desastern,Desasters"
neg,Desinteresse,-0.3348,Desinteresses
neg,Dezimierung,-0.0048,Dezimierungen
neg,Dieb,-0.1962,"Diebes,Diebs,Dieben,Diebe"
neg,Diebstahl,-0.3505,"Diebstahls,Diebstähle,Diebstahles,Diebstählen"
neg,Diffamierung,-0.4591,Diffamierungen
neg,Diktator,-0.0048,"Diktatoren,Diktators"
neg,Dilemma,-0.3403,Dilemmas
neg,Diskriminierung,-0.0048,Diskriminierungen
neg,Dissens,-0.0048,"Dissensen,Dissense,Dissenses"
neg,Dominierung,-0.0048,Dominierungen
neg,Doppeldeutigkeit,-0.0048,Doppeldeutigkeiten
neg,Doppelspiel,-0.0048,"Doppelspiele,Doppelspieles,Doppelspiels,Doppelspielen"
neg,Dreck,-0.0048,"Dreckes,Drecks"
neg,Drift,-0.0048,Driften
neg,Drohung,-0.0048,Drohungen
neg,Drosselung,-0.3178,Drosselungen
neg,Dummheit,-0.4877,Dummheiten
neg,Dummkopf,-0.0048,"Dummköpfen,Dummkopfes,Dummköpfe,Dummkopfs"
neg,Dunkelheit,-0.3547,Dunkelheiten
neg,Durcheinander,-0.0048,"Durcheinanders,Durcheinandern"
neg,Dussel,-0.3094,"Dussels,Dusseln"
neg,Dämpfer,-0.0048,"Dämpfern,Dämpfers"
neg,Dürre,-0.0048,Dürren
neg,Düsternis,-0.0048,"Düsternisen,Düsternise"
neg,Egoist,-0.3179,Egoisten
neg,Ehebruch,-0.4743,"Ehebruches,Ehebruchs,Ehebrüche,Ehebrüchen"
neg,Einbrecher,-0.0048,"Einbrechers,Einbrechern"
neg,Einbruch,-0.3498,"Einbrüche,Einbruches,Einbrüchen,Einbruchs"
neg,Einbuße,-0.0048,Einbußen
neg,Einsamkeit,-0.339,Einsamkeiten
neg,Einschlag,-0.0048,"Einschlägen,Einschlages,Einschläge,Einschlags"
neg,Einschränkung,-0.2048,Einschränkungen
neg,Einschüchterung,-0.0048,Einschüchterungen
neg,Einsturz,-0.0048,"Einstürzen,Einsturzs,Einsturzes,Einstürze"
neg,Ekel,-0.462,"Ekeln,Ekeles,Ekels"
neg,Elend,-0.2013,Elends
neg,Empörung,-0.0048,Empörungen
neg,Ende,-0.2088,"Endes,Enden"
neg,Energielosigkeit,-0.0048,NA
neg,Entbindung,-0.0048,Entbindungen
neg,Entfremdung,-0.0048,Entfremdungen
neg,Entführung,-0.0048,Entführungen
neg,Enthauptung,-0.0048,Enthauptungen
neg,Entlassung,-0.0048,Entlassungen
neg,Entmutigung,-0.0048,Entmutigungen
neg,Enttäuschung,-0.3378,Enttäuschungen
neg,Entziehung,-0.0048,Entziehungen
neg,Epidemie,-0.0048,Epidemien
neg,Ermahnung,-0.0048,Ermahnungen
neg,Ermordung,-0.332,Ermordungen
neg,Ermüdung,-0.0048,Ermüdungen
neg,Erniedrigung,-0.3259,Erniedrigungen
neg,Ernüchterung,-0.0048,Ernüchterungen
neg,Erosion,-0.0666,Erosionen
neg,Erpressung,-0.0048,Erpressungen
neg,Erschöpfung,-0.0595,Erschöpfungen
neg,Erschütterung,-0.0048,Erschütterungen
neg,Explosion,-0.0048,Explosionen
neg,Fahrlässigkeit,-0.0048,Fahrlässigkeiten
neg,Farce,-0.3349,Farcen
neg,Faschist,-0.0048,Faschisten
neg,Faulheit,-0.611,NA
neg,Fehde,-0.0048,Fehden
neg,Fehlanzeige,-0.0048,Fehlanzeigen
neg,Fehler,-0.6752,"Fehlern,Fehlers"
neg,Fehlermeldung,-0.4765,Fehlermeldungen
neg,Fehlkauf,-0.0048,"Fehlkaufes,Fehlkaufs,Fehlkäufe,Fehlkäufen"
neg,Fehlkonstruktion,-0.0048,Fehlkonstruktionen
neg,Fehlleistung,-0.0048,Fehlleistungen
neg,Fehltritt,-0.0048,"Fehltrittes,Fehltritten,Fehltritte,Fehltritts"
neg,Fehlverhalten,-0.3461,NA
neg,Feind,-0.8054,"Feindes,Feinde,Feinds,Feinden"
neg,Feuer,-0.0445,"Feuern,Feuers"
neg,Fiasko,-0.0048,Fiaskos
neg,Finanzkrise,-0.3283,Finanzkrisen
neg,Finte,-0.0048,Finten
neg,Flaute,-0.0413,Flauten
neg,Fluch,-0.3534,"Fluchs,Flüchen,Flüche,Fluches"
neg,Flucht,-0.0048,Fluchten
neg,Flüchtiger,-0.0048,NA
neg,Flüchtigkeit,-0.0048,Flüchtigkeiten
neg,Flüchtling,-0.0048,"Flüchtlings,Flüchtlinge,Flüchtlinges,Flüchtlingen"
neg,Frechheit,-0.4665,Frechheiten
neg,Frust,-0.469,"Frustes,Frusts"
neg,Frustration,-0.3354,Frustrationen
neg,Furcht,-0.5012,NA
neg,Fälschung,-0.3377,Fälschungen
neg,Gammler,-0.0048,"Gammlers,Gammlern"
neg,Gangster,-0.3375,"Gangsters,Gangstern"
neg,Garnichts,-0.0048,NA
neg,Gauner,-0.4592,"Gaunern,Gauners"
neg,Gebrechen,-0.3251,Gebrechens
neg,Gedränge,-0.0571,"Gedrängen,Gedränges"
neg,Gefahr,-1,Gefahren
neg,Gefecht,-0.3373,"Gefechten,Gefechtes,Gefechte,Gefechts"
neg,Gefährdung,-0.0048,Gefährdungen
neg,Gegner,-0.344,"Gegnern,Gegners"
neg,Geisteskrankheit,-0.0048,Geisteskrankheiten
neg,Geistlosigkeit,-0.0048,Geistlosigkeiten
neg,Geiz,-0.0048,"Geizen,Geizes,Geize,Geizs"
neg,Geizhals,-0.0048,"Geizhälsen,Geizhälse,Geizhalss,Geizhalses"
neg,Geizkragen,-0.0048,Geizkragens
neg,Geldstrafe,-0.3299,Geldstrafen
neg,Geschmacklosigkeit,-0.0048,Geschmacklosigkeiten
neg,Geschäftsauflösung,-0.0048,Geschäftsauflösungen
neg,Gestank,-0.0048,"Gestanks,Gestankes"
neg,Gewalt,-0.5363,Gewalten
neg,Gewalttätige,-0.0048,NA
neg,Gewalttätiger,-0.0048,NA
neg,Gift,-0.3505,"Gifts,Giftes,Giften,Gifte"
neg,Glanzlosigkeit,-0.0048,NA
neg,Gleichgültigkeit,-0.343,NA
neg,Glücklosigkeit,-0.0048,NA
neg,Gnadenlosigkeit,-0.0048,NA
neg,Grausamkeit,-0.3348,Grausamkeiten
neg,Groll,-0.6021,"Grolls,Grolles"
neg,Groteske,-0.0048,Grotesken
neg,Habgier,-0.0532,NA
neg,Haft,-0.0048,"Hafte,Hafts,Haften,Haftes"
neg,Handgemenge,-0.3174,"Handgemenges,Handgemengen"
neg,Handicap,-0.0426,Handicaps
neg,Hass,-0.5014,Hasss
neg,Heimsuchung,-0.0048,Heimsuchungen
neg,Hektik,-0.0048,NA
neg,Hemmung,-0.0048,Hemmungen
neg,Herausforderung,-0.0048,Herausforderungen
neg,Heuchelei,-0.0048,Heucheleien
neg,Heuchler,-0.3251,"Heuchlers,Heuchlern"
neg,Hilflosigkeit,-0.3394,NA
neg,Hindernis,-0.0048,"Hinderniss,Hindernises,Hindernisses,Hindernise,Hindernisen,Hindernissen,Hindernisse"
neg,Hinterhalt,-0.0048,"Hinterhaltes,Hinterhalts,Hinterhalte,Hinterhalten"
neg,Hinterlist,-0.0048,NA
neg,Hohn,-0.0048,"Hohnes,Hohns"
neg,Horror,-0.0509,Horrors
neg,Hunger,-0.3531,"Hungeres,Hungers"
neg,Hungersnot,-0.4739,"Hungersnöten,Hungersnöte"
neg,Hungertod,-0.0048,Hungertods
neg,Hysterie,-0.3386,Hysterien
neg,Härte,-0.0446,Härten
neg,Hölle,-0.5052,Höllen
neg,Idiot,-0.0048,Idioten
neg,Illegalität,-0.0048,Illegalitäten
neg,Immobilität,-0.0048,NA
neg,Ineffizienz,-0.0048,Ineffizienzen
neg,Infektion,-0.2059,Infektionen
neg,Infiltration,-0.0048,Infiltrationen
neg,Inflation,-0.3462,Inflationen
neg,Inkompetenz,-0.0048,Inkompetenzen
neg,Inkonsequenz,-0.0455,Inkonsequenzen
neg,Inkonsistenz,-0.3097,NA
neg,Instabilität,-0.3358,Instabilitäten
neg,Intervention,-0.1975,Interventionen
neg,Invasion,-0.0048,Invasionen
neg,Isolation,-0.3453,Isolationen
neg,Jammer,-0.4613,"Jammers,Jammeres"
neg,Jähzorn,-0.0048,NA
neg,Kampf,-0.5372,NA
neg,Kapitalverbrechen,-0.0048,Kapitalverbrechens
neg,Kapitulation,-0.0048,Kapitulationen
neg,Katastrophe,-0.5027,Katastrophen
neg,Keim,-0.0048,"Keims,Keime,Keimes,Keimen"
neg,Klage,-0.0048,Klagen
neg,Klischee,-0.48,Klischees
neg,Kläger,-0.3673,"Klägers,Klägern"
neg,Knappheit,-0.0048,NA
neg,Kollaps,-0.0048,"Kollapses,Kollapsen,Kollapse"
neg,Kollision,-0.3323,Kollisionen
neg,Komplikation,-0.0048,Komplikationen
neg,Konflikt,-0.0048,"Konfliktes,Konflikte,Konflikts,Konflikten"
neg,Konfrontation,-0.0048,Konfrontationen
neg,Konjunkturrückgang,-0.0048,NA
neg,Konkurrenz,-0.0461,Konkurrenzen
neg,Konkurrenzkampf,-0.0494,"Konkurrenzkampfs,Konkurrenzkämpfe,Konkurrenzkampfes,Konkurrenzkämpfen"
neg,Konkurs,-0.0048,"Konkurse,Konkurses,Konkursen"
neg,Kontroverse,-0.3329,Kontroversen
neg,Kopfschmerzen,-0.1993,NA
neg,Korruption,-0.3439,Korruptionen
neg,Kostspieligkeit,-0.0048,NA
neg,Krach,-0.0048,"Krächen,Kräche,Krachs,Kraches,Krache,Krachen"
neg,Krankheit,-0.6858,Krankheiten
neg,Krieg,-0.5364,"Kriegs,Krieges,Kriegen,Kriege"
neg,Kriminalität,-0.0048,NA
neg,Krise,-0.3621,Krisen
neg,Kritik,-0.5308,Kritiken
neg,Kritiker,-0.6494,"Kritikers,Kritikern"
neg,Kränkung,-0.0048,Kränkungen
neg,Krüppel,-0.3203,"Krüppeln,Krüppels"
neg,Kurseinbruch,-0.0048,"Kurseinbruchs,Kurseinbrüche,Kurseinbruches,Kurseinbrüchen"
neg,Kälte,-0.0048,NA
neg,Kündigung,-0.0048,Kündigungen
neg,Kürzung,-0.341,Kürzungen
neg,Langeweile,-0.0377,NA
neg,Langweiler,-0.0443,"Langweilern,Langweilers"
neg,Last,-0.0048,Lasten
neg,Launenhaftigkeit,-0.0048,NA
neg,Lebensgefahr,-0.0048,Lebensgefahren
neg,Leblosigkeit,-0.0048,NA
neg,Leere,-0.0048,NA
neg,Leichtsinn,-0.3253,Leichtsinns
neg,Leichtsinnsfehler,-0.0371,"Leichtsinnsfehlers,Leichtsinnsfehlern"
neg,Leid,-0.5056,"Leides,Leids"
neg,Leidende,-0.0048,NA
neg,Liquidation,-0.0048,Liquidationen
neg,Lähmung,-0.0048,Lähmungen
neg,Löschung,-0.0048,Löschungen
neg,Lüge,-0.5,Lügen
neg,Lügner,-0.4767,"Lügnern,Lügners"
neg,Makel,-0.1813,"Makels,Makeln"
neg,Mangel,-0.3669,NA
neg,Manipulation,-0.3455,Manipulationen
neg,Massaker,-0.0048,"Massakern,Massakers"
neg,Maßlosigkeit,-0.0048,NA
neg,Melancholie,-0.1859,NA
neg,Melodrama,-0.0048,Melodramen
neg,Merkwürdigkeit,-0.0048,Merkwürdigkeiten
neg,Minderung,-0.0048,Minderungen
neg,Minderwertigkeit,-0.3201,NA
neg,Missachtung,-0.0048,NA
neg,Missbrauch,-0.0048,"Missbräuchen,Missbrauches,Missbräuche,Missbrauchs"
neg,Missgeschick,-0.0472,"Missgeschicken,Missgeschicks,Missgeschicke,Missgeschickes"
neg,Missglück,-0.0048,NA
neg,Misstrauen,-0.4778,Misstrauens
neg,Misstrauensantrag,-0.0048,"Misstrauensanträge,Misstrauensanträgen,Misstrauensantrages,Misstrauensantrags"
neg,Missverständnis,-0.4756,"Missverständniss,Missverständnise,Missverständnises,Missverständnisen"
neg,Mist,-0.1732,"Mists,Mistes"
neg,Mittellosigkeit,-0.0048,NA
neg,Mittelmäßigkeit,-0.0048,NA
neg,Monotonie,-0.0048,Monotonien
neg,Mord,-0.3595,"Mordes,Morde,Mords,Morden"
neg,Mutlosigkeit,-0.0048,NA
neg,Müdigkeit,-0.1995,NA
neg,Mühe,-0.0048,Mühen
neg,Müll,-0.3377,Mülls
neg,Nachlässigkeit,-0.0048,Nachlässigkeiten
neg,Nachteil,-0.8102,"Nachteilen,Nachteile,Nachteils,Nachteiles"
neg,Naivität,-0.0048,NA
neg,Narr,-0.335,Narren
neg,Negativität,-0.3155,NA
neg,Neid,-0.4729,"Neides,Neids"
neg,Nervosität,-0.1833,NA
neg,Neustart,-0.0504,NA
neg,Niedergang,-0.0048,"Niedergangs,Niederganges"
neg,Niedergeschlagenheit,-0.0048,NA
neg,Niederlage,-0.3651,Niederlagen
neg,Not,-0.2187,"Nöten,Nöte"
neg,Notfall,-0.0468,"Notfalles,Notfällen,Notfalls,Notfälle"
neg,Notstand,-0.0048,"Notstandes,Notständen,Notstands,Notstände"
neg,Nutzlosigkeit,-0.0048,NA
neg,Nötigung,-0.0048,Nötigungen
neg,Oberflächlichkeit,-0.3299,Oberflächlichkeiten
neg,Offensive,-0.0048,Offensiven
neg,Opposition,-0.3631,Oppositionen
neg,Panik,-0.3429,Paniken
neg,Panne,-0.1901,Pannen
neg,Pech,-0.4823,"Peches,Pechen,Peche,Pechs"
neg,Pessimismus,-0.4715,NA
neg,Pest,-0.3456,NA
neg,Pflicht,-0.3577,Pflichten
neg,Pleite,-0.3323,Pleiten
neg,Preissturz,-0.0048,"Preissturzs,Preisstürze,Preisstürzen,Preissturzes"
neg,Problem,-0.3865,"Probleme,Problemen,Problems"
neg,Propaganda,-0.4893,NA
neg,Protest,-0.3564,NA
neg,Provisorium,-0.0048,"Provisorien,Provisoriums"
neg,Provokation,-0.0048,Provokationen
neg,Qual,-0.0402,Qualen
neg,Qualitätsminderung,-0.3096,NA
neg,Rache,-0.3534,NA
neg,Ratlosigkeit,-0.0048,NA
neg,Raub,-0.0048,"Raubs,Raubes,Rauben,Raube"
neg,Rebellen,-0.0048,NA
neg,Rebellion,-0.0048,NA
neg,Rechtswidrigkeit,-0.0499,Rechtswidrigkeiten
neg,Redundanz,-0.0048,Redundanzen
neg,Reinfall,-0.0048,"Reinfälle,Reinfalls,Reinfällen,Reinfalles"
neg,Reklamation,-0.0048,Reklamationen
neg,Reparatur,-0.0048,Reparaturen
neg,Revolte,-0.0048,Revolten
neg,Revolution,-0.0048,Revolutionen
neg,Rezession,-0.3454,Rezessionen
neg,Risiko,-0.687,NA
neg,Rivale,-0.0502,Rivalen
neg,Rivalität,-0.0048,Rivalitäten
neg,Rost,-0.0048,"Rostes,Rosten,Roste,Rosts"
neg,Ruin,-0.0048,Ruins
neg,Rutsch,-0.0048,"Rutschs,Rutschen,Rutsches,Rutsche"
neg,Rätselraten,-0.0048,Rätselratens
neg,Räuber,-0.3508,"Räubers,Räubern"
neg,Rückfall,-0.0048,"Rückfalls,Rückfällen,Rückfälle,Rückfalles"
neg,Rückgang,-0.2096,"Rückgangs,Rückganges,Rückgängen,Rückgänge"
neg,Rückschritt,-0.0048,"Rückschritten,Rückschritts,Rückschritte,Rückschrittes"
neg,Rücksendung,-0.3465,Rücksendungen
neg,Rücksichtslosigkeit,-0.0048,Rücksichtslosigkeiten
neg,Rückstand,-0.063,"Rückständen,Rückstands,Rückstände,Rückstandes"
neg,Rückständigkeit,-0.0048,NA
neg,Rücktritt,-0.0048,"Rücktritte,Rücktritts,Rücktrittes,Rücktritten"
neg,Rückzug,-0.3501,NA
neg,Sabotage,-0.0048,Sabotagen
neg,Sackgasse,-0.3455,Sackgassen
neg,Schaden,-0.5299,Schadens
neg,Schadensbild,-0.0048,"Schadensbildern,Schadensbilder,Schadensbilds,Schadensbildes"
neg,Scham,-0.4829,NA
neg,Schande,-0.0048,Schanden
neg,Scheidung,-0.2023,Scheidungen
neg,Scheitern,-0.3524,NA
neg,Schelte,-0.0048,Schelten
neg,Scheußlichkeit,-0.0048,Scheußlichkeiten
neg,Schlachtfeld,-0.0048,"Schlachtfeldern,Schlachtfeldes,Schlachtfelder,Schlachtfelds"
neg,Schlag,-0.0048,"Schlages,Schlags,Schlägen,Schläge"
neg,Schlamperei,-0.0048,Schlampereien
neg,Schlechtigkeit,-0.4646,Schlechtigkeiten
neg,Schlitterbahn,-0.0048,Schlitterbahnen
neg,Schlägerei,-0.0048,Schlägereien
neg,Schmerz,-0.0048,"Schmerzes,Schmerzs,Schmerzen"
neg,Schmuggel,-0.0048,"Schmuggels,Schmuggeles"
neg,Schmutz,-0.0542,"Schmutzs,Schmutzes"
neg,Schock,-0.0048,"Schockn,Schocks,Schocke,Schocken,Schockes"
neg,Schramme,-0.0048,Schrammen
neg,Schreck,-0.194,"Schrecke,Schrecken,Schrecks,Schreckes"
neg,Schrott,-0.0534,"Schrottes,Schrotts,Schrotte,Schrotten"
neg,Schräglauf,-0.0048,"Schrägläufen,Schräglaufs,Schräglaufes,Schrägläufe"
neg,Schubs,-0.0048,"Schubse,Schubsen,Schubses"
neg,Schuld,-0.9686,Schulden
neg,Schuldner,-0.0048,"Schuldnern,Schuldners"
neg,Schuldnerin,-0.0048,Schuldnerinnen
neg,Schurke,-0.3306,Schurken
neg,Schwierigkeit,-0.0483,Schwierigkeiten
neg,Schwund,-0.0048,"Schwunds,Schwundes"
neg,Schwäche,-0.5035,Schwächen
neg,Schwächung,-0.337,Schwächungen
neg,Schäden,-0.3731,NA
neg,Schädigung,-0.0048,Schädigungen
neg,Senkung,-0.0545,Senkungen
neg,Sinnlosigkeit,-0.0048,Sinnlosigkeiten
neg,Sintflut,-0.3313,NA
neg,Skandal,-0.0048,"Skandales,Skandals,Skandale,Skandalen"
neg,Sklave,-0.3281,Sklaven
neg,Sklavenarbeit,-0.0048,NA
neg,Sorge,-0.3618,Sorgen
neg,Spott,-0.3357,"Spotts,Spottes"
neg,Sprengstoff,-0.0048,"Sprengstoffes,Sprengstoffs,Sprengstoffe,Sprengstoffen"
neg,Sprengung,-0.0048,Sprengungen
neg,Stagnation,-0.0048,Stagnationen
neg,Stau,-0.0438,Staus
neg,Sterben,-0.053900000000000003,Sterbens
neg,Steuerhinterziehung,-0.0048,NA
neg,Stilllegung,-0.0048,Stilllegungen
neg,Stillstand,-0.0048,"Stillstanden,Stillstandes,Stillstande,Stillstands"
neg,Stornierung,-0.0048,Stornierungen
neg,Stoß,-0.0048,"Stoßes,Stoßs,Stößen,Stöße"
neg,Strafverfahren,-0.0048,Strafverfahrens
neg,Strapaze,-0.0048,Strapazen
neg,Streik,-0.0048,Streiks
neg,Streit,-0.6632,"Streites,Streits,Streiten,Streite"
neg,Strenge,-0.0048,NA
neg,Stress,-0.0048,"Stresss,Stresses,Stresse,Stressen"
neg,Streß,-0.0048,NA
neg,Sturheit,-0.1894,NA
neg,Sturz,-0.6316,"Sturzs,Sturzen,Stürze,Sturzes,Stürzen,Sturze"
neg,Störung,-0.3569,Störungen
neg,Sucht,-0.3505,"Süchte,Süchten"
neg,Sündenbock,-0.3285,"Sündenbockes,Sündenböcke,Sündenböcken,Sündenbocks"
neg,Tabu,-0.0048,NA
neg,Terror,-0.0048,Terrors
neg,Terrorismus,-0.3553,NA
neg,Teuerung,-0.322,Teuerungen
neg,Teuerungsrate,-0.0048,Teuerungsraten
neg,Teufelskreis,-0.479,"Teufelskreiss,Teufelskreise,Teufelskreisen,Teufelskreises"
neg,Tod,-0.0697,"Tods,Todes,Tode,Toden"
neg,Todesfall,-0.0048,"Todesfälle,Todesfällen,Todesfalls,Todesfalles"
neg,Todesstrafe,-0.0048,Todesstrafen
neg,Torheit,-0.0048,Torheiten
neg,Totschlag,-0.0048,"Totschlägen,Totschlags,Totschlages,Totschläge"
neg,Tragödie,-0.0048,Tragödien
neg,Trauer,-0.0048,NA
neg,Trauma,-0.0048,Traumen
neg,Traurigkeit,-0.0457,Traurigkeiten
neg,Trennung,-0.5071,Trennungen
neg,Tristesse,-0.0555,Tristessen
neg,Trostlosigkeit,-0.0048,NA
neg,Trott,-0.0048,"Trottes,Trotten,Trotts,Trotte"
neg,Trugschluß,-0.0048,NA
neg,Trägheit,-0.1937,Trägheiten
neg,Träne,-0.0562,Tränen
